"Ign","Team","Multikills"
"Moose","Luminosity Gaming (ex)",109
"Bangnan","Team T5 (ex)",109
"Twisten","BIG (ex)",108
"zepher","REJECT (ex)",107
"DubsteP","Team Secret",106
"Bangnan","DAMWON Gaming (ex)",106
"pr0xy","Spear Gaming (ex)",106
"Kongared","Made in Thailand",105
"d3ffo","M3 Champions (ex)",105
"Duno","Natus Vincere (ex)",105
"penny","Version1 (Inactive) (ex)",104
"Jeong Hi","Maru Gaming (ex)",103
"poised","FaZe Clan",103
"Puleule","9z Team",102
"ableJ","FURIA (ex)",102
"AloNeFillz","Made in Thailand",102
"BORKUM","Team Secret",102
"dazzLe","Luminosity Gaming (ex)",101
"Kush","Alter Ego",101
"Reita","REJECT (ex)",101
"Reformed","Evil Geniuses",101
"MONSTEERR","Acend (ex)",99
"Fisker","FAV gaming (ex)",99
"SicK","Sentinels (ex)",98
"TiGG","Luminosity Gaming (ex)",98
"zeek","Acend (ex)",97
"Minty","FAV gaming",96
"Harry","HolyMolly",95
"Moves","Maru Gaming (ex)",94
"noxxy","Alter Ego (si)",93
"bnj","Ninjas in Pyjamas (ex)",93
"vickt0r","Movistar Optix",92
"v1xen","Keyd Stars (ex)",90
"Ethan","NRG Esports (ex)",89
"aimDLL","BBL Esports",89
"JessieVash","Team Secret",88
"wippie","Version1 (Inactive) (ex)",88
"Derialy","NORTHEPTION",88
"liazzi","Liberty",88
"Tio","Movistar Optix",87
"MOLSI","OG LDN UTD (ex)",87
"deLb","Alter Ego",87
"Fuzari","Gamelanders Blue (ex)",86
"Hermes","HolyMolly (ex)",86
"xeta","Cloud9 (ex)",86
"10X","HolyMolly (ex)",85
"Lakia","IGZIST (ex)",84
"Wavy","CNJ Esports",84
"Zander","Version1 (Inactive) (ex)",83
"jzz","MIBR",83
"Secret","Desperado (ex)",83
"dinkzj","Natus Vincere (ex)",83
"LEXY","Bleed Esports (ex)",83
"Witz","Team Secret (ex)",82
"feqew","OG LDN UTD (ex)",82
"Apoth","Evil Geniuses",80
"zeddy","Natus Vincere (ex)",80
"Benecia","CNJ Esports",80
"Moothie","CNJ Esports (ex)",80
"iNTRO","DAMWON Gaming (si)",79
"dimasick","Team Liquid",79
"Moves","Team T5 (ex)",79
"bazz","FAV gaming",78
"C0M","Evil Geniuses",78
"Famouz","Persija Esports (ex)",78
"oitaN","IGZIST",78
"Zellsis","Version1 (Inactive) (ex)",78
"gio","Movistar Optix",78
"frz","MIBR",77
"Feniz","E-Xolos LAZER",77
"RND","Los Grandes (ex)",77
"MAGNUM","FNATIC (ex)",76
"adrnking","Alter Ego",76
"AslaN","BIG (ex)",75
"Flynch","Persija Esports (ex)",75
"RyZzi","Desperado (ex)",74
"LOB","FAV gaming",73
"Nyang","Gamelanders Blue",72
"dgzin","FURIA",72
"Turko","BBL Esports",71
"NiSMO","Ghost Gaming (ex)",71
"Obnoks","BIG (ex)",71
"CTC","Los Grandes (ex)",70
"Famouz","BOOM Esports (ex)",70
"koalanoob","Ghost Gaming (ex)",70
"frostmind","BOOM Esports (ex)",70
"ban","Knights (ex)",69
"Daveeys","E-Xolos LAZER (ex)",69
"vakk","Acend",69
"chase","Gamelanders Blue (ex)",69
"Phantom","FAV gaming",69
"braveaf","FNATIC (ex)",68
"Boo","OG LDN UTD (ex)",68
"Eeyore","Persija Esports",68
"Rain","CNJ Esports",68
"Has1ra14","CNJ Esports",68
"JinboongE","HolyMolly (ex)",67
"krain","Liberty",67
"GwangUh","Maru Gaming (ex)",66
"luckeRRR","BIG (ex)",66
"axeLuvY","Alter Ego (ex)",66
"Keria","Spear Gaming",66
"DeNaro","MIBR (ex)",66
"ExiA","Spear Gaming",66
"Jeong Hi","DAMWON Gaming (ex)",66
"effys","Version1 (Inactive) (ex)",65
"JohnOlsen","FULL SENSE",65
"vow","Team T5 (ex)",64
"SiuFatBB","Griffin E-Sports",64
"shion","Liberty (ex)",64
"skuba","Knights (ex)",64
"Delta","Maru Gaming (ex)",63
"Destrian","OG LDN UTD (ex)",62
"baddyG","FunPlus Phoenix (ex)",61
"SungJin","Spear Gaming (ex)",61
"Hate","DAMWON Gaming (ex)",61
"Kishi","CERBERUS Esports (ex)",60
"WRONSKI","ORDER (ex)",60
"prince","Los Grandes (ex)",59
"XXiF","Knights (ex)",59
"RHZ","Keyd Stars (ex)",59
"YESicaN","Fancy United Esports",58
"redwater877","Team T5",58
"f1cio","Fancy United Esports",58
"v1xen","Ninjas in Pyjamas (ex)",57
"JhoW","Keyd Stars (ex)",57
"Johnqt","Ghost Gaming (ex)",57
"Felix","HolyMolly (ex)",57
"gtnziN","MIBR (ex)",57
"Fung3","Griffin E-Sports",56
"hype","OG LDN UTD (ex)",56
"MatiS","EBRO Gaming (ex)",56
"pleets","Los Grandes",55
"zennakukinn","BLUE BEES.ESP (ex)",55
"JUGi","FOKUS",55
"godko","Desperado (ex)",54
"pAura","BBL Esports (ex)",54
"Maple","ORDER (ex)",54
"myssen","Liberty",54
"Genghsta","Knights (ex)",54
"Wenty","Tartarus (ex)",53
"W1nner","Griffin E-Sports",53
"Texta","ORDER (ex)",53
"Izzy","SuperMassive",52
"Hyzee","Fancy United Esports (ex)",52
"rDeeW","ORDER (ex)",52
"D1E","Movistar Optix",52
"Pepper","IGZIST (ex)",52
"gustt1nha","Los Grandes (ex)",52
"zombs","Sentinels (ex)",51
"NoriseN","REJECT (ex)",51
"allow","Jadeite (ex)",51
"Foxy9","Reignite (ex)",51
"Jady","Natus Vincere (ex)",50
"BandiCoot","E-Xolos LAZER",50
"disk0","ORDER (ex)",50
"aproto","Ghost Gaming (ex)",49
"YRSelect","Griffin E-Sports (si)",49
"THEE","FULL SENSE",49
"NAOS JA","South Built Esports (ex)",49
"GOLD","Desperado (ex)",48
"rion","Crazy Raccoon",48
"azys","South Built Esports (ex)",48
"Kr1stal","BLUE BEES.ESP (ex)",47
"poem","IGZIST",47
"D1E","Meta Gaming (ex)",47
"ANDROID","NRG Esports (ex)",47
"fenNy","SunXet Club",47
"musashi","BIG (ex)",46
"Xander","FUSION",46
"Dcop","FUSION",46
"KimGyuTae","Desperado",45
"Xdll","BLUE BEES.ESP (ex)",45
"RIPablo","IGZIST",45
"gMd","TSM (ex)",45
"YaBoiDre","Evil Geniuses (ex)",45
"rubkkoide","PAMPAS (ex)",44
"Delend","Made in Thailand (ex)",44
"DaeGi","Tartarus (ex)",44
"Fantasy","Team T5",44
"neptune","Rise (ex)",44
"Boo","LDN UTD (ex)",44
"asteriskk","Persija Esports",44
"Torrify","FUSION (ex)",44
"Subroza","TSM (ex)",44
"XiSTOU","SuperMassive (ex)",44
"curry","Cloud9 (ex)",44
"mNdS","MIBR (ex)",44
"roseaufy","Persija Esports",44
"Ethan","100 Thieves (ex)",44
"Brave","SuperMassive (ex)",43
"Retla","Bleed Esports (ex)",43
"gob b","BIG (ex)",43
"Jremy","Team Secret",43
"Derrek","Rise (ex)",43
"corey","TSM (ex)",42
"Dispenser","Team Secret",42
"ChAlalala","FULL SENSE (ex)",42
"RgLMeister","INGAMING Esports (ex)",42
"MOLSI","LDN UTD (ex)",42
"jfoen","E-Xolos LAZER",42
"b3ta","Made in Thailand",41
"feqew","LDN UTD (ex)",41
"Sơn KeKe","Fancy United Esports (ex)",41
"poised","Rise (ex)",41
"Fross","SunXet Club",41
"Xandrite","NORTHEPTION (ex)",40
"Anker","Jadeite (ex)",40
"v1nNy","Gamelanders Blue (ex)",40
"Shanks","Rise (ex)",40
"akashi","CERBERUS Esports (ex)",40
"tixx","Bonkers(OCE) (ex)",39
"Destrian","LDN UTD (ex)",39
"NicoMachine","Meta Gaming (ex)",39
"BRNWOWZK1","INGAMING Esports (ex)",38
"Jemkin","Crest Gaming ZST (ex)",38
"bmVz","Fancy United Esports (ex)",37
"supamen","Rise (ex)",37
"SylFy","Jadeite (ex)",37
"Lok1","CERBERUS Esports (ex)",37
"Hiko","100 Thieves (ex)",37
"Frosty","Knights (ex)",37
"vong","FOKUS (ex)",37
"Zellsis","Sentinels (ex)",37
"CLZ","FENNEL",37
"david","PAMPAS (ex)",37
"flippy","South Built Esports (ex)",36
"Rainy","Griffin E-Sports",36
"Sushi","EBRO Gaming (ex)",36
"iluri","FOKUS (ex)",36
"mittiii","FENNEL (ex)",35
"Dreamas","LDN UTD (ex)",35
"ParkJJong","Tartarus (ex)",35
"PTC","FULL SENSE (ex)",35
"Kanpeki","Sentinels (ex)",35
"KILLDREAMST","Sharks Esports (ex)",35
"brawk","Ghost Gaming (ex)",35
"LucasVade","Meta Gaming (ex)",35
"YaBoiLewis","FOKUS",35
"Holbreak","EBRO Gaming (ex)",35
"diewijAs","PAMPAS (ex)",35
"Jady","M3 Champions",35
"something","BLUE BEES.ESP (ex)",35
"rochet","SunXet Club (ex)",35
"bucher","FOKUS (ex)",34
"badsitoww","Meta Gaming (ex)",34
"Redneval","CERBERUS Esports (ex)",34
"Brinks","Gamelanders Blue (si)",34
"jcStani","100 Thieves (ex)",34
"swag","Team Vikings (ex)",33
"Chronicle","Gambit Esports (ex)",33
"wyz","FUSION",33
"Nexi","Rex Regum Qeon (ex)",33
"Nozz","Bonkers(OCE) (ex)",33
"JinboongE","Brimstone (ex)",33
"gaabxx","Sharks Esports (ex)",32
"RoaN","SunXet Club (ex)",32
"seven","TSM (ex)",32
"DOGAO","Movistar Optix",32
"Bonecold","Acend (ex)",32
"10X","Brimstone (si)",32
"kobra","Sengoku Gaming (ex)",31
"NANZIN","INGAMING Esports (ex)",31
"kurozooted","Reignite",31
"flainzz","INGAMING Esports (ex)",31
"leonzhett","PAMPAS (ex)",31
"Maverick","Stars Horizon (ex)",31
"artzin","Stars Horizon (ex)",31
"Mited","FUSION",31
"Estrella","Desperado (ex)",31
"Draxii","Rex Regum Qeon (ex)",30
"Dobsha","E-Xolos LAZER (ex)",30
"Lawrence","GoNGo Prince",30
"LAMMYSNAX","FULL SENSE (ex)",30
"pdr","INGAMING Esports (ex)",30
"raafa","Liberty (ex)",30
"Anthem","SCARZ (ex)",29
"Glovee","SuperMassive (ex)",29
"ringring","CNJ Esports",29
"Minimise","Bonkers(OCE) (ex)",29
"rDeeW","Bonkers(OCE) (ex)",29
"iNTRO","DAMWON Gaming (ex)",29
"v1xen","Ninjas in Pyjamas (si)",29
"Dualing","Storks Phalanx (ex)",29
"Peloncito","E-Xolos LAZER",29
"UdoTan","GoNGo Prince (ex)",29
"HaReeee","REJECT (ex)",28
"Brofeld","Jadeite",28
"pho","Evil Geniuses (ex)",28
"kiles","Acend (ex)",28
"eKo","Reignite (ex)",28
"glym","Liberty (ex)",28
"SyouTa","Crest Gaming ZST (ex)",28
"shroud","Sentinels",27
"Dreamas","Team Liquid (ex)",27
"prozin","Sharks Esports",27
"PapiChulo","South Built Esports (ex)",27
"thiefy","Sengoku Gaming (ex)",27
"Daicute","CERBERUS Esports (ex)",27
"FREY","Gaimin Gladiators (ex)",27
"kellyS","Rex Regum Qeon (ex)",27
"Rabbet","Rex Regum Qeon",26
"olzerr","PAMPAS (ex)",26
"Zerost","BLUE BEES.ESP (ex)",26
"Misaya","Sengoku Gaming",26
"Wenty","GoNGo Prince (ex)",26
"Rossy","TSM (ex)",26
"Kaspe","BIG (ex)",26
"Nizzy","Fancy United Esports",26
