"Ign","Team","Defusals"
"brawk","Ghost Gaming (ex)","14"
"krain","Liberty","14"
"HANN","World Game Star","14"
"sushiboys","XERXIA Esports (ex)","13"
"deigara","9z Team","13"
"Shyy","Leviatán","13"
"jfoen","E-Xolos LAZER","13"
"Surf","XERXIA Esports (ex)","13"
"nAts","M3 Champions (ex)","13"
"ableJ","FURIA (ex)","13"
"Starxo","Acend","13"
"BABYBAY","FaZe Clan","13"
"Turko","BBL Esports","13"
"Chibab","Maru Gaming","13"
"Keria","Spear Gaming","13"
"lenne","Bleed Esports (ex)","13"
"maxie","Bleed Esports (ex)","13"
"adrnking","Alter Ego","13"
"takej","REJECT (ex)","13"
"Kongared","Made in Thailand","13"
"Chronicle","M3 Champions (ex)","13"
"axeLuvY","Alter Ego (ex)","12"
"MAGNUM","FNATIC (ex)","12"
"XXiF","Knights (ex)","12"
"zepher","REJECT (ex)","12"
"SUTHER","9z Team (ex)","12"
"tex","NRG Esports (ex)","12"
"Exy","DAMWON Gaming","12"
"Boo","OG LDN UTD (ex)","12"
"Dreamas","Team Liquid (ex)","12"
"Genghsta","Knights (ex)","12"
"Cloud","Natus Vincere (ex)","12"
"d3ffo","M3 Champions (ex)","12"
"vaiZ","Leviatán (ex)","12"
"dgzin","Gamelanders Blue (ex)","12"
"Benecia","CNJ Esports","12"
"Munchkin","Crazy Raccoon (ex)","11"
"bdog","Luminosity Gaming (ex)","11"
"DubsteP","Team Secret","11"
"SungJin","Spear Gaming (ex)","11"
"7ssk7","Natus Vincere (ex)","11"
"Chronicle","M3 Champions (ex)","11"
"Has1ra14","CNJ Esports","10"
"Hate","DAMWON Gaming (ex)","10"
"braveaf","FNATIC (ex)","10"
"EndU","Team GP","10"
"Reita","REJECT (ex)","10"
"JessieVash","Team Secret","10"
"penny","Version1 (Inactive) (ex)","10"
"poem","IGZIST","10"
"Wavy","CNJ Esports","10"
"Derialy","FENNEL (ex)","10"
"zeddy","Natus Vincere (ex)","10"
"v1xen","Ninjas in Pyjamas (ex)","10"
"pyth","Bleed Esports (ex)","10"
"QutionerX","BBL Esports","10"
"Mizu","9z Team","9"
"Deryeon","Bleed Esports (ex)","9"
"Hermes","HolyMolly (ex)","9"
"GwangUh","Maru Gaming (ex)","9"
"bazz","FAV gaming","9"
"roseaufy","Persija Esports","9"
"Frosty","Knights (ex)","9"
"wippie","Version1 (Inactive) (ex)","9"
"Hyzee","Fancy United Esports (ex)","9"
"Boostio","Evil Geniuses","9"
"Twisten","BIG (ex)","9"
"Meteor","NORTHEPTION (ex)","9"
"Texta","ORDER (ex)","9"
"Kadoom","Made in Thailand","9"
"Feniz","E-Xolos LAZER","9"
"JinboongE","HolyMolly (ex)","9"
"Minty","FAV gaming","9"
"SicK","Sentinels (ex)","9"
"asteriskk","Persija Esports","9"
"feqew","OG LDN UTD (ex)","9"
"Xandrite","NORTHEPTION (ex)","9"
"v1xen","Keyd Stars (ex)","9"
"Zellsis","Sentinels (ex)","9"
"NiSMO","Ghost Gaming (ex)","9"
"10X","HolyMolly (ex)","9"
"liazzi","Liberty","9"
"v1nNy","Gamelanders Blue (ex)","9"
"pr0xy","Spear Gaming (ex)","9"
"SiuFatBB","Griffin E-Sports","8"
"Kush","Alter Ego","8"
"frostmind","BOOM Esports (ex)","8"
"NoriseN","REJECT (ex)","8"
"Fisker","FAV gaming (ex)","8"
"ParkJJong","Tartarus (ex)","8"
"vickt0r","Movistar Optix","8"
"Tio","Movistar Optix","8"
"tuyz","TBK Esports (ex)","8"
"ExiA","Spear Gaming","8"
"JohnOlsen","FULL SENSE","8"
"YESicaN","Fancy United Esports","8"
"Delta","Maru Gaming (ex)","8"
"Ssun","Spear Gaming (ex)","8"
"LAMMYSNAX","FULL SENSE (ex)","8"
"pho","Evil Geniuses (ex)","8"
"Lok1","CERBERUS Esports (ex)","8"
"Harry","HolyMolly","8"
"Pepper","IGZIST (ex)","8"
"Phantom","FAV gaming","8"
"MONSTEERR","Acend (ex)","8"
"Misaya","Sengoku Gaming","8"
"pAura","BBL Esports (ex)","8"
"2GE","Rex Regum Qeon","8"
"nAts","M3 Champions (ex)","8"
"godko","Desperado (ex)","8"
"D1E","Movistar Optix","8"
"Hiko","100 Thieves (ex)","8"
"noxxy","Alter Ego (si)","8"
"Sushi","EBRO Gaming (ex)","8"
"CTC","Los Grandes (ex)","8"
"mNdS","MIBR (ex)","8"
"zennakukinn","BLUE BEES.ESP (ex)","8"
"curry","Cloud9 (ex)","8"
"dimasick","Team Liquid","8"
"gob b","BIG (ex)","8"
"Fuzari","Gamelanders Blue (ex)","8"
"AsLanM4shadoW","BBL Esports","7"
"Felix","HolyMolly (ex)","7"
"RND","Los Grandes (ex)","7"
"vong","FOKUS (ex)","7"
"Derialy","NORTHEPTION","7"
"Lakia","IGZIST (ex)","7"
"Rain","CNJ Esports","7"
"frz","MIBR","7"
"iNTRO","DAMWON Gaming (si)","7"
"CLZ","FENNEL","7"
"baddyG","FunPlus Phoenix (ex)","7"
"BORKUM","Team Secret","7"
"Jemkin","BLUE BEES.ESP (ex)","7"
"Moves","Team T5 (ex)","7"
"Witz","Team Secret (ex)","7"
"SylFy","Jadeite (ex)","7"
"zeek","Acend (ex)","7"
"gustt1nha","Los Grandes (ex)","7"
"BlackWiz","NORTHEPTION","7"
"RyZzi","Desperado (ex)","7"
"Torrify","FUSION (ex)","7"
"RIPablo","IGZIST","7"
"Kishi","CERBERUS Esports (ex)","7"
"PTC","FULL SENSE (ex)","7"
"Daveeys","E-Xolos LAZER (ex)","7"
"bucher","FOKUS (ex)","7"
"gio","Movistar Optix","7"
"Johnqt","Ghost Gaming (ex)","7"
"rubkkoide","PAMPAS (ex)","7"
"Xdll","BLUE BEES.ESP (ex)","7"
"Rossy","TSM (ex)","6"
"Brofeld","Jadeite","6"
"b3ta","Made in Thailand","6"
"vow","Team T5 (ex)","6"
"Peloncito","E-Xolos LAZER","6"
"Mited","FUSION","6"
"vakk","Acend","6"
"Flax","Hexad (ex)","6"
"Nyang","Gamelanders Blue","6"
"Unnsto","EBRO Gaming (ex)","6"
"shion","Liberty (ex)","6"
"HANLING","9z Team (ex)","6"
"chase","Gamelanders Blue (ex)","6"
"gtnziN","MIBR (ex)","6"
"Shuzz","SCARZ (ex)","6"
"iluri","FOKUS (ex)","6"
"D1E","Meta Gaming (ex)","6"
"DOGAO","Movistar Optix","6"
"oitaN","IGZIST","6"
"aproto","Ghost Gaming (ex)","6"
"pleets","Los Grandes","6"
"SamuraiDeeper","Crest Gaming ZST (ex)","6"
"hype","OG LDN UTD (ex)","6"
"allow","Jadeite (ex)","6"
"BandiCoot","E-Xolos LAZER","6"
"Dispenser","Team Secret","6"
"akashi","CERBERUS Esports (ex)","6"
"myssen","Liberty","6"
"LucasVade","Meta Gaming (ex)","6"
"Eeyore","Persija Esports","6"
"effys","Version1 (Inactive) (ex)","6"
"Kr1stal","BLUE BEES.ESP (ex)","6"
"Derrek","Rise (ex)","6"
"mittiii","FENNEL (ex)","6"
"poised","Rise (ex)","5"
"JinboongE","Brimstone (ex)","5"
"Addicted","Sharks Esports (ex)","5"
"bmVz","Fancy United Esports (ex)","5"
"MOLSI","LDN UTD (ex)","5"
"Jady","M3 Champions","5"
"Jremy","Team Secret","5"
"NeruFi","Crest Gaming ZST","5"
"LEXY","Bleed Esports (ex)","5"
"UdoTan","GoNGo Prince (ex)","5"
"Wenty","Tartarus (ex)","5"
"Retla","Bleed Esports (ex)","5"
"glym","Liberty (ex)","5"
"Bangnan","DAMWON Gaming (ex)","5"
"prince","Los Grandes (ex)","5"
"Obnoks","BIG (ex)","5"
"ANDROID","NRG Esports (ex)","5"
"Rawkus","Sentinels (ex)","5"
"Famouz","BOOM Esports (ex)","5"
"RgLMeister","INGAMING Esports (ex)","5"
"SungJin","CNJ Esports (ex)","5"
