"Player Id","Ign","Team"
14778,"11wea11","5th Dimension"
22337,"120",""
14490,"123","Tales of Eastern"
22682,"개주곤123","Blater"
32016,"123123asf","TwoKay"
5825,"12 mola diferent","Pérolas"
3819,"12pk","Off the Grid"
16229,"12 yrs old",""
11889,"1337","raute 1"
6785,"13E",""
24555,"13lueee","Griffin E-Sports Academy"
23715,"13th doctor","Relaxu Chale"
12786,"13th monkey","Hide In Smoke"
23956,"15GB","YeakSa OJK"
9488,"15 Sabie","PointAndClick"
15778,"1615144","WHAAN WHAAN Esport"
16020,"16Chops","MEOGANG"
5695,"17","Unkind"
13073,"177","trying to win"
7818,"17nik","RedPack eSports"
3756,"17 Savage","Meloner"
27883,"185","Centurion"
22914,"185cm80kg30cm","Egnis.Kr"
32353,"18P atelier","XIIX Purple"
32356,"18P Cartrr","XIIX Purple"
32354,"18P Ivory","XIIX Purple"
32355,"18P Tino","XIIX Purple"
16057,"1907","Cynical"
21250,"1927db18g2d98172","bagels and donuts"
23486,"1996 (deleted)",""
20103,"1B1K"," AMAZE"
24066,"1barbarinha","TDC"
29720,"1Benji","Benji's daycare"
28926,"1BH Hix Xky","1-behind"
25087,"1buugg","Raiju Esports"
23955,"1ccug","Victory (VN)"
4914,"1CHIGO","Dei Macha"
8810,"1DEES","Chamomile Esports Camp"
24184,"1demon","Lucid"
13328,"1DNVR",""
22599,"1DW","Zeal"
24620,"1eon (deleted)",""
9958,"1ex",""
20093,"1FLICK1KILL","NothingToLose"
26672,"1Frog1","Achieve eSports"
2435,"1ge(Copy)","BV ESPORTS"
14425,"1KAPUMBA","Wolfgang Mist Walkthrough"
5638,"1kd bot","AnimeSquad"
18288,"1KingB","Chosen 1s"
4613,"1kuzohh","Newstar"
24933,"1Lake",""
25589,"1Li","Kanpekis Kittens"
23860,"1lucas","Tokyo Revengers"
6655,"1mbrokeN","EMPEROR"
8932,"1mitator","Party carrots"
20462,"1mpala","Wofdex Esports"
25915,"1mpetuou5","Team Instinct"
21240,"1mpressive","Born in Fire"
28069,"1MS Dreyy","1Millisecond X"
26780,"1MS emi","1Millisecond X"
28070,"1MS hiddenworld","1Millisecond X"
28068,"1MS naz","1Millisecond X"
10793,"1NCORNAT1ON",""
1902,"1ndra","The Last Monk"
23044,"1nonlysyn","One Meta Gaming"
26516,"1nput","Team Divinity"
17258,"1NSANE","Cloud Nein"
21557,"1OOBY","New Legion"
25886,"1ove","Last Gate"
