"Ign","Team","Damage"
"GLAB zey","NAOS Esports (ex)","5450"
"Muj","BBL Esports (ex)","5444"
"cuda","GyoGun (ex)","5403"
"MuuShock","Rebellion Arts","5371"
"こころん","looking for a name","5346"
"Melofovia","DetonatioN Gaming White (ex)","5177"
"Learica","TRIDENT (ex)","5176"
"SoGaTe","Tartarus (si)","5036"
"Defectio","ややーず (ex)","4975"
"MqsaaV","Mariner","4949"
"sickLy","FUSION","4871"
"Ripper","Oasis Gaming","4870"
"AzeL","looking for a name (ex)","4777"
"Suda","SETOUCHI ENLIFE (ex)","4711"
"reooooo","Rebellion Arts","4646"
"Creative","GoNGo Prince","4589"
"Ludens","K2 eSports (ex)","4569"
"Anna","Next eSports (ex)","4569"
"UmiNtyU","Mariner","4457"
"Lore","Focus e-Sports (ex)","4425"
"pippi","Rebellion Arts","4416"
"Meimoo","Rebellion Arts","4401"
"shura","Focus e-Sports","4388"
"Valll","Focus e-Sports (ex)","4363"
"wait","KRÜ Esports (ex)","4334"
"DaeGi","Tartarus (si)","4282"
"moco","TRIDENT (ex)","4233"
"sakurai","Crest Gaming ZST (ex)","4223"
"侵略者","ややーず","4219"
"kobra","Crest Gaming ZST","4218"
"Yso","TRIDENT (ex)","4213"
"H1K","SchwarzerLand","4208"
"kurtesy","Oasis Gaming","4106"
"2KY","SchwarzerLand","4093"
"Machao","DetonatioN Gaming White (ex)","4009"
"Haner","K2 eSports (ex)","3955"
"Sacchi","SchwarzerLand","3950"
"oikou","GyoGun (ex)","3948"
"kobra","REJECT (si)","3921"
"Ran","SETOUCHI ENLIFE (ex)","3885"
"TAMAGO","AWS (ex)","3858"
"Reita","Crest Gaming ZST (si)","3817"
"RELAXING","TRIDENT (ex)","3786"
"Citrus7","SchwarzerLand","3771"
"KadosuK","GyoGun (ex)","3738"
"GwangUh","Tartarus (si)","3715"
"Num","AWS (ex)","3655"
"Poach","FaZe Clan (ex)","3644"
"SyouTa","REJECT (si)","3599"
"Dani","Sentinels (si)","3586"
"silver","K2 eSports (ex)","3554"
"Myself","AWS","3531"
"大西大和","SETOUCHI ENLIFE (ex)","3524"
"pouoxo","TRIDENT (ex)","3459"
"Maru","Mariner","3417"
"takej","Crest Gaming ZST (si)","3284"
"azuma","K2 eSports (ex)","3280"
"YAYA","ややーず","3214"
"sachi","Rebellion Arts (ex)","3200"
"Ask","Reignite","3166"
"Shiroe","Mariner","3062"
"Puupop","Mariner","2991"
"Namikaze","SETOUCHI ENLIFE (ex)","2902"
"ZONBee","GyoGun","2862"
"Toto","GyoGun","2821"
"zepher","Crest Gaming ZST (si)","2810"
"Nikumanyaro","SYSTEM e-Sports (ex)","2788"
"Zan","Focus e-Sports","2778"
"Flash","Rex Regum Qeon","2776"
"Siro","looking for a name (ex)","2755"
"Suke","SYSTEM e-Sports","2748"
"KimGyuTae","Desperado (si)","2742"
"40pingSterry","SETOUCHI ENLIFE","2717"
"Pa1n","Focus e-Sports","2714"
"SamuraiDeeper","REJECT (si)","2657"
"hiyokomaru","SYSTEM e-Sports","2616"
"KAMEReon","AWS (ex)","2560"
"Medusa","Crest Gaming ZST (si)","2526"
"sakurai","REJECT (si)","2472"
"Gabriel","AWS","2389"
"NoriseN","Crest Gaming ZST (si)","2288"
"NeruFi","REJECT (si)","2127"
"Purp0","M3 Champions (ex)","1947"
"Leo","SYSTEM e-Sports","1852"
"P4F","SchwarzerLand","1803"
"wait","KRÜ Esports (si)","1712"
"fiN","SYSTEM e-Sports","1347"
