"Ign","Team","Agent","Picks","Matches","Percentage"
"Jeong Hi","Maru Gaming (ex)","Omen",10,32,"31.25"
"zunba","On Sla2ers (ex)","Brimstone",10,49,"20.41"
"valyn","The Guard","Viper",10,110,"9.09"
"Tuli","Movistar Optix (ex)","Raze",10,27,"37.04"
"deLb","Alter Ego","Raze",10,22,"45.45"
"valyn","The Guard (ex)","Viper",10,110,"9.09"
"oitaN","IGZIST","Chamber",10,19,"52.63"
"jawgemo","Evil Geniuses","Jett",10,35,"28.57"
"Derrek","100 Thieves","Breach",10,42,"23.81"
"Mistic","FNATIC (ex)","Astra",10,69,"14.49"
"Rb","DRX","Raze",10,91,"10.99"
"Luke","World Game Star","Breach",9,54,"16.67"
"dinkzj","Natus Vincere (ex)","Killjoy",9,35,"25.71"
"sheydos","M3 Champions","Skye",9,81,"11.11"
"raafa","Liberty (ex)","Chamber",9,11,"81.82"
"dimasick","Team Liquid","Omen",9,26,"34.62"
"vaiZ","Leviatán (ex)","KAY/O",9,35,"25.71"
"deigara","9z Team","Breach",9,39,"23.08"
"Xeppaa","Cloud9","Skye",9,47,"19.15"
"vaiZ","Leviatán (ex)","Cypher",9,35,"25.71"
"Exy","DAMWON Gaming","Astra",9,58,"15.52"
"s0m","NRG Esports","Jett",9,39,"23.08"
"Bazzi","On Sla2ers (ex)","Yoru",9,49,"18.37"
"zombs","Sentinels (ex)","Astra",9,19,"47.37"
"NiSMO","Ghost Gaming (ex)","KAY/O",9,15,"60.00"
"deigara","9z Team","Astra",9,39,"23.08"
"Fisker","FAV gaming (ex)","Raze",9,23,"39.13"
"Kaspe","BIG (ex)","Astra",9,13,"69.23"
"mazin","FURIA","Jett",9,49,"18.37"
"d4v41","Paper Rex","Sage",9,61,"14.75"
"sheydos","M3 Champions (ex)","Sova",9,81,"11.11"
"rochet","SunXet Club (ex)","Sova",9,11,"81.82"
"Benkai","Paper Rex","Sova",9,61,"14.75"
"FNS","OpTic Gaming (ex)","Sage",9,111,"8.11"
"mazin","FURIA","Raze",9,49,"18.37"
"BRNWOWZK1","INGAMING Esports (ex)","Jett",9,9,"100.00"
"Delta","Maru Gaming (ex)","Skye",9,22,"40.91"
"HANLING","9z Team (ex)","Skye",9,32,"28.13"
"olzerr","PAMPAS (ex)","Omen",9,11,"81.82"
"Hermes","HolyMolly (ex)","Jett",9,26,"34.62"
"stax","DRX","Fade",9,91,"9.89"
"ableJ","FURIA (ex)","KAY/O",9,34,"26.47"
"GwangUh","Tartarus (ex)","KAY/O",9,14,"64.29"
"matheuzin","TBK Esports","Chamber",9,38,"23.68"
"CyderX","SuperMassive (ex)","Sova",9,11,"81.82"
"akashi","CERBERUS Esports (ex)","Sova",9,15,"60.00"
"Benecia","CNJ Esports","Omen",9,24,"37.50"
"Frosty","Knights (ex)","Killjoy",9,17,"52.94"
"Exy","DAMWON Gaming","Chamber",9,58,"15.52"
"Shyy","Leviatán","KAY/O",9,36,"25.00"
"ExiA","Spear Gaming","Sova",9,23,"39.13"
"Foxy9","Reignite (ex)","Jett",9,10,"90.00"
"Kongared","Made in Thailand","Skye",9,28,"32.14"
"gaabxx","Sharks Esports (ex)","Jett",9,9,"100.00"
"gob b","BIG (ex)","Sova",9,13,"69.23"
"Marved","OpTic Gaming","Viper",9,111,"8.11"
"Duno","Natus Vincere (ex)","Astra",9,35,"25.71"
"BORKUM","Team Secret","Viper",9,27,"33.33"
"Derrek","Rise (ex)","Sova",9,12,"75.00"
"Reita","REJECT (ex)","Fade",9,31,"29.03"
"L1NK","Team Liquid (ex)","Omen",9,38,"23.68"
"godko","Desperado (ex)","Killjoy",9,21,"42.86"
"GODLIKE","World Game Star (ex)","KAY/O",9,57,"15.79"
"Mistic","FNATIC (ex)","Sage",9,69,"13.04"
"SungJin","Spear Gaming (ex)","Omen",9,23,"39.13"
"dapr","Sentinels (ex)","Chamber",9,38,"23.68"
"NakJi","Maru Gaming (ex)","KAY/O",9,58,"15.52"
"sheydos","M3 Champions","Sova",9,81,"11.11"
"mitch","Cloud9 (ex)","Sage",9,47,"19.15"
"NcSlasher","Onic Esports (ex)","KAY/O",9,38,"23.68"
"NANZIN","INGAMING Esports (ex)","Sova",9,9,"100.00"
"Khalil","FURIA","Viper",9,49,"18.37"
"NcSlasher","Onic Esports (ex)","Astra",9,38,"23.68"
"Laz","ZETA DIVISION","Killjoy",9,63,"14.29"
"Redgar","M3 Champions (ex)","Sova",9,81,"11.11"
"Turko","BBL Esports","Sage",9,24,"37.50"
"rion","Crazy Raccoon","Omen",9,14,"64.29"
"WIX","Maru Gaming (ex)","Viper",9,58,"15.52"
"Cloud","Natus Vincere (ex)","Raze",9,35,"25.71"
"dgzin","Gamelanders Blue (ex)","Chamber",9,24,"37.50"
"Wavy","CNJ Esports","KAY/O",9,24,"37.50"
"stellar","100 Thieves","Viper",9,42,"21.43"
"vow","Team T5 (ex)","Viper",9,22,"40.91"
"bazz","FAV gaming","Astra",9,23,"39.13"
"trexx","Guild Esports","Cypher",9,54,"16.67"
"sushiboys","XERXIA Esports (ex)","Cypher",9,61,"14.75"
"NcSlasher","Onic Esports (ex)","Sage",9,38,"23.68"
"v1xen","Ninjas in Pyjamas (ex)","Omen",9,24,"37.50"
"Chronicle","M3 Champions (ex)","Raze",9,81,"11.11"
"f0rsakeN","Paper Rex","Neon",9,61,"14.75"
"Will","100 Thieves (ex)","Jett",9,42,"21.43"
"nAts","M3 Champions (ex)","Astra",9,81,"11.11"
"Hoody","G2 Esports (Inactive) (ex)","KAY/O",9,57,"15.79"
"wannafly","Made in Thailand","Chamber",9,28,"32.14"
"ANGE1","FunPlus Phoenix (ex)","Viper",9,85,"10.59"
"wannafly","Made in Thailand","Killjoy",9,28,"32.14"
"SiuFatBB","Griffin E-Sports","Jett",9,16,"56.25"
"asteriskk","Persija Esports","Brimstone",9,16,"56.25"
"Mistic","FNATIC (ex)","KAY/O",9,69,"13.04"
"ChAlalala","FULL SENSE (ex)","Astra",9,11,"81.82"
"GodDead","On Sla2ers","Sage",9,49,"18.37"
"fl1pzjder","BOOM Esports (ex)","KAY/O",9,45,"20.00"
"Jonn","Ninjas in Pyjamas (ex)","Fade",9,66,"13.64"
"ScreaM","Team Liquid (ex)","Sage",9,75,"12.00"
"d3ffo","M3 Champions (ex)","Raze",9,34,"26.47"
"JonahP","The Guard","Skye",9,55,"16.36"
"koalanoob","Ghost Gaming (ex)","Chamber",9,15,"60.00"
"sScary","XERXIA Esports (ex)","Omen",9,61,"14.75"
"ANGE1","FunPlus Phoenix (ex)","Fade",9,85,"10.59"
"gio","Movistar Optix","Skye",9,27,"33.33"
"frostmind","BOOM Esports (ex)","Killjoy",8,27,"29.63"
"keznit","KRÜ Esports (ex)","Phoenix",8,70,"11.43"
"f0rsakeN","Paper Rex","Yoru",8,61,"13.11"
"BuZz","DRX","Astra",8,91,"8.79"
"gio","Movistar Optix","KAY/O",8,27,"29.63"
"Fantasy","Team T5","Omen",8,16,"50.00"
"crow","ZETA DIVISION","Fade",8,63,"12.70"
"Boo","OG LDN UTD (ex)","Omen",8,21,"38.10"
"trent","The Guard","Breach",8,55,"14.55"
"WKN","Meta Gaming (ex)","Astra",8,10,"80.00"
"brawk","Ghost Gaming (ex)","Sova",8,15,"53.33"
"WRONSKI","ORDER (ex)","Jett",8,16,"50.00"
"Pro","South Built Esports (ex)","Sova",8,9,"88.89"
"prince","Los Grandes (ex)","Viper",8,19,"42.11"
"murizzz","Keyd Stars (ex)","KAY/O",8,60,"13.33"
"stellar","100 Thieves","Cypher",8,42,"19.05"
"ableJ","FURIA (ex)","Sage",8,34,"23.53"
"Minty","FAV gaming","Jett",8,23,"34.78"
"vaiZ","Leviatán (ex)","Killjoy",8,35,"22.86"
"fenNy","SunXet Club","Chamber",8,11,"72.73"
"MOLSI","OG LDN UTD (ex)","KAY/O",8,21,"38.10"
"skuba","Knights (ex)","Viper",8,17,"47.06"
"JUGi","FOKUS","Jett",8,12,"66.67"
"Keria","Spear Gaming","KAY/O",8,30,"26.67"
"bezn1","Ninjas in Pyjamas (ex)","KAY/O",8,66,"12.12"
"ExiA","Spear Gaming","Fade",8,23,"34.78"
"Redgar","M3 Champions","KAY/O",8,81,"9.88"
"keznit","KRÜ Esports (ex)","Neon",8,70,"11.43"
"ANGE1","FunPlus Phoenix (ex)","Brimstone",8,85,"9.41"
"kon4n","TBK Esports (ex)","Breach",8,38,"21.05"
"vickt0r","Movistar Optix","Viper",8,27,"29.63"
"Fisker","FAV gaming (ex)","Jett",8,23,"34.78"
"k1Ng","On Sla2ers (ex)","Cypher",8,49,"16.33"
"Saadhak","LOUD","Breach",8,67,"11.94"
"Marved","OpTic Gaming","KAY/O",8,111,"7.21"
"Daicute","CERBERUS Esports (ex)","Chamber",8,8,"100.00"
"trexx","Guild Esports","KAY/O",8,54,"14.81"
"Benecia","CNJ Esports","Viper",8,24,"33.33"
"pleets","Los Grandes","Astra",8,19,"42.11"
"ableJ","FURIA (ex)","Sova",8,34,"23.53"
"TS","On Sla2ers (ex)","Fade",8,49,"16.33"
"fl1pzjder","BOOM Esports (ex)","Killjoy",8,45,"17.78"
"adrnking","Alter Ego","Skye",8,22,"36.36"
"AYRIN","XSET (ex)","Omen",8,66,"12.12"
"aproto","Ghost Gaming (ex)","Viper",8,15,"53.33"
"Sayaplayer","The Guard (ex)","Chamber",8,55,"14.55"
"Fung3","Griffin E-Sports","Chamber",8,16,"50.00"
"ScreaM","Team Liquid (ex)","Phoenix",8,75,"10.67"
"Redgar","M3 Champions (ex)","KAY/O",8,81,"9.88"
"Boostio","Evil Geniuses","Jett",8,35,"22.86"
"dinkzj","Natus Vincere (ex)","Viper",8,35,"22.86"
"Reita","REJECT (ex)","Sova",8,31,"25.81"
"Rain","CNJ Esports","Raze",8,18,"44.44"
"deigara","9z Team","Sova",8,39,"20.51"
"soulcas","Team Liquid","Sova",8,75,"10.67"
"TenZ","Sentinels","Chamber",8,36,"22.22"
"zekken","XSET (ex)","Neon",8,66,"12.12"
"shelbyN","EBRO Gaming (ex)","Astra",8,11,"72.73"
"deLb","Alter Ego","Neon",8,22,"36.36"
"sheydos","M3 Champions (ex)","Sage",8,81,"9.88"
"HANLING","9z Team (ex)","KAY/O",8,32,"25.00"
"Enzo","FNATIC (ex)","Viper",8,49,"16.33"
"sheydos","M3 Champions","Sage",8,81,"9.88"
"sheydos","M3 Champions (ex)","Skye",8,81,"9.88"
"zekken","XSET (ex)","Jett",8,66,"12.12"
"TiGG","Luminosity Gaming (ex)","Viper",8,33,"24.24"
"Asuna","100 Thieves","Skye",8,55,"14.55"
"effys","Version1 (Inactive) (ex)","Breach",8,21,"38.10"
"Twisten","BIG (ex)","Raze",8,25,"32.00"
"soulcas","Team Liquid","Raze",8,75,"10.67"
"Duno","Natus Vincere (ex)","Fade",8,35,"22.86"
"shion","Liberty (ex)","Skye",8,20,"40.00"
"bmVz","Fancy United Esports (ex)","Breach",8,12,"66.67"
"Nivera","Team Liquid (ex)","KAY/O",8,75,"10.67"
"Xandrite","NORTHEPTION (ex)","Killjoy",8,14,"57.14"
"Duno","Natus Vincere (ex)","Sova",8,35,"22.86"
"takej","REJECT (ex)","Brimstone",8,31,"25.81"
"iNTRO","DAMWON Gaming (si)","Viper",8,22,"36.36"
"Reformed","Evil Geniuses","Sage",8,35,"22.86"
"supamen","FaZe Clan","Omen",8,37,"21.62"
"Dreamas","Team Liquid (ex)","Breach",8,11,"72.73"
"vakk","Acend","Sova",8,24,"33.33"
"pANcada","LOUD (ex)","Viper",8,67,"11.94"
"Hiko","100 Thieves (ex)","Viper",8,13,"61.54"
"RIPablo","IGZIST","Astra",8,19,"42.11"
"hazed","NRG Esports (ex)","Omen",8,39,"20.51"
"Reformed","Evil Geniuses","Viper",8,35,"22.86"
"allow","Jadeite (ex)","Jett",8,12,"66.67"
"wippie","Version1 (Inactive) (ex)","Killjoy",8,21,"38.10"
"Obnoks","BIG (ex)","Skye",7,25,"28.00"
"Glovee","SuperMassive (ex)","Astra",7,11,"63.64"
"Less","LOUD","Cypher",7,67,"10.45"
"takej","REJECT (ex)","Astra",7,31,"22.58"
"godko","Desperado (ex)","Sova",7,21,"33.33"
"GODLIKE","World Game Star (ex)","Skye",7,57,"12.28"
"AYRIN","XSET (ex)","Killjoy",7,66,"10.61"
"gtnziN","MIBR (ex)","KAY/O",7,17,"41.18"
"Boaster","FNATIC","Brimstone",7,69,"10.14"
"Hate","DAMWON Gaming (ex)","Viper",7,28,"25.00"
"AvovA","G2 Esports (Inactive) (ex)","Brimstone",7,57,"12.28"
"HANLING","9z Team (ex)","Breach",7,32,"21.88"
"Harry","HolyMolly","Viper",7,26,"26.92"
"Xeppaa","Cloud9","Fade",7,47,"14.89"
"pAura","BBL Esports (ex)","Killjoy",7,22,"31.82"
"adverso","Leviatán (ex)","Viper",7,71,"9.86"
"Boo","LDN UTD (ex)","Astra",7,12,"58.33"
"Lmemore","Onic Esports (ex)","Sova",7,38,"18.42"
"Shanks","Rise (ex)","Jett",7,12,"58.33"
"SEVERiNE","Onic Esports (ex)","Chamber",7,38,"18.42"
"Khalil","FURIA","Chamber",7,49,"14.29"
"MAGNUM","FNATIC (ex)","Viper",7,24,"29.17"
"Starxo","Acend","Raze",7,37,"18.92"
"Maple","ORDER (ex)","Fade",7,16,"43.75"
"baddyG","FunPlus Phoenix (ex)","Astra",7,16,"43.75"
"Meddo","G2 Esports (Inactive) (ex)","Cypher",7,57,"12.28"
"RyZzi","Desperado (ex)","Reyna",7,21,"33.33"
"PapiChulo","South Built Esports (ex)","Killjoy",7,10,"70.00"
"Melser","Leviatán (ex)","Sage",7,71,"9.86"
"Jremy","Team Secret","Chamber",7,10,"70.00"
"Kongared","Made in Thailand","Breach",7,28,"25.00"
"Minty","FAV gaming","Skye",7,23,"30.43"
"Moose","Luminosity Gaming (ex)","Viper",7,33,"21.21"
"jotinha","SunXet Club (ex)","Viper",7,11,"63.64"
"pANcada","LOUD (ex)","Sage",7,67,"10.45"
"BORKUM","Team Secret","Omen",7,27,"25.93"
"BORKUM","Team Secret","Astra",7,27,"25.93"
"PTC","FULL SENSE (ex)","Skye",7,11,"63.64"
"XiSTOU","SuperMassive (ex)","Killjoy",7,11,"63.64"
"Brave","SuperMassive (ex)","Sage",7,11,"63.64"
"JonahP","The Guard","KAY/O",7,55,"12.73"
"skuba","Knights (ex)","Astra",7,17,"41.18"
"Witz","Team Secret (ex)","Jett",7,24,"29.17"
"kiNgg","Leviatán","Breach",7,71,"9.86"
"RgLMeister","Keyd Stars (ex)","Brimstone",7,29,"24.14"
"JonahP","The Guard","Breach",7,55,"12.73"
"BABYBAY","FaZe Clan","Jett",7,37,"18.92"
"AloNeFillz","Made in Thailand","Sage",7,28,"25.00"
"krain","Liberty","Omen",7,20,"35.00"
"wannafly","Made in Thailand","Viper",7,28,"25.00"
"corey","TSM (ex)","Chamber",7,10,"70.00"
"vow","Team T5 (ex)","Chamber",7,22,"31.82"
"ANDROID","NRG Esports (ex)","Viper",7,13,"53.85"
"Victor","OpTic Gaming (ex)","Jett",7,111,"6.31"
"mixwell","G2 Esports (Inactive) (ex)","Jett",7,52,"13.46"
"Peloncito","E-Xolos LAZER","Fade",7,9,"77.78"
"vanity","Cloud9","Astra",7,47,"14.89"
"kiNgg","Leviatán","Viper",7,71,"9.86"
"something","BLUE BEES.ESP (ex)","Jett",7,7,"100.00"
"david","PAMPAS (ex)","Raze",7,11,"63.64"
"dazzLe","Luminosity Gaming (ex)","Breach",7,33,"21.21"
"myssen","Liberty","Breach",7,20,"35.00"
"Kush","Alter Ego","Fade",7,22,"31.82"
"Delend","Made in Thailand (ex)","Astra",7,17,"41.18"
"Delta","Maru Gaming (ex)","Breach",7,22,"31.82"
"rDeeW","ORDER (ex)","KAY/O",7,16,"43.75"
"Dep","ZETA DIVISION","Viper",7,63,"11.11"
"NakJi","Maru Gaming (ex)","Raze",7,58,"12.07"
"Kishi","CERBERUS Esports (ex)","Breach",7,15,"46.67"
"dephh","XSET (ex)","Cypher",7,66,"10.61"
"zekken","XSET (ex)","Sova",7,66,"10.61"
"adrnking","Alter Ego","Breach",7,22,"31.82"
"NAOS JA","South Built Esports (ex)","Astra",7,11,"63.64"
"Kishi","CERBERUS Esports (ex)","Chamber",7,15,"46.67"
"nAts","M3 Champions (ex)","Astra",7,81,"8.64"
"Jamppi","Team Liquid","Jett",7,75,"9.33"
"dinkzj","Natus Vincere (ex)","Cypher",7,35,"20.00"
"nAts","M3 Champions (ex)","Cypher",7,81,"8.64"
"iRdy","World Game Star","Fade",7,59,"11.86"
"v1xen","Ninjas in Pyjamas (si)","Omen",7,8,"87.50"
"Shiro","Onic Esports (ex)","Chamber",7,38,"18.42"
"azys","South Built Esports (ex)","Jett",7,11,"63.64"
"UdoTan","GoNGo Prince (ex)","Jett",7,7,"100.00"
"supamen","FaZe Clan","Brimstone",7,37,"18.92"
"Eeyore","Persija Esports","Chamber",7,16,"43.75"
"neT","The Guard","Breach",7,55,"12.73"
"YaBoiDre","Evil Geniuses (ex)","Sova",7,12,"58.33"
"zeek","Acend (ex)","Raze",7,28,"25.00"
"supamen","FaZe Clan","Astra",7,37,"18.92"
"zeddy","Natus Vincere (ex)","Viper",7,22,"31.82"
"Exy","DAMWON Gaming","Killjoy",7,58,"12.07"
"Addicted","Sharks Esports (ex)","Sova",7,9,"77.78"
"supamen","Rise (ex)","Viper",7,12,"58.33"
"leaf","Cloud9","Raze",7,47,"14.89"
"Fantasy","Team T5","Astra",7,16,"43.75"
"Redgar","M3 Champions (ex)","Omen",7,81,"8.64"
"AslaN","BIG (ex)","Viper",7,25,"28.00"
"AslaN","BIG (ex)","Jett",7,25,"28.00"
"aimDLL","BBL Esports","Viper",7,26,"26.92"
"fl1pzjder","BOOM Esports (ex)","Viper",7,45,"15.56"
"Redneval","CERBERUS Esports (ex)","Jett",7,8,"87.50"
"sushiboys","XERXIA Esports (ex)","Chamber",7,61,"11.48"
"TiGG","Luminosity Gaming (ex)","Astra",7,33,"21.21"
"TiGG","Luminosity Gaming (ex)","Omen",7,33,"21.21"
"Texta","ORDER (ex)","Omen",7,16,"43.75"
"foxz","XERXIA Esports (ex)","Fade",7,61,"11.48"
"AsLanM4shadoW","BBL Esports","Astra",7,26,"26.92"
"Nivera","Team Liquid (ex)","Killjoy",7,75,"9.33"
"Bazzi","On Sla2ers (ex)","Raze",7,49,"14.29"
"Leo","Guild Esports (ex)","Fade",7,54,"12.96"
"Delend","Made in Thailand (ex)","Brimstone",6,17,"35.29"
"LEXY","Bleed Esports (ex)","Breach",6,24,"25.00"
"NagZ","KRÜ Esports","Sage",6,73,"8.22"
"FNS","OpTic Gaming (ex)","KAY/O",6,111,"5.41"
"Jeong Hi","Maru Gaming (ex)","Viper",6,32,"18.75"
"Bangnan","Team T5 (ex)","Reyna",6,22,"27.27"
"Ethan","100 Thieves (ex)","Chamber",6,13,"46.15"
"Ethan","NRG Esports (ex)","Breach",6,26,"23.08"
"DEATHMAKER","Velocity Gaming","Jett",6,6,"100.00"
"Ethan","NRG Esports (ex)","Sage",6,26,"23.08"
"Ethan","NRG Esports (ex)","Skye",6,26,"23.08"
"Ethan","NRG Esports (ex)","KAY/O",6,26,"23.08"
"Tuli","9z Team (si)","Raze",6,7,"85.71"
"Zellsis","Sentinels (ex)","KAY/O",6,8,"75.00"
"ANGE1","FunPlus Phoenix (ex)","Yoru",6,85,"7.06"
"JessieVash","Team Secret","Fade",6,27,"22.22"
"dapr","Sentinels (ex)","Killjoy",6,38,"15.79"
"Kush","Alter Ego","Cypher",6,22,"27.27"
"Hyzee","Fancy United Esports (ex)","Astra",6,17,"35.29"
"DaeGi","Team GP (ex)","Jett",6,6,"100.00"
"adrnking","Alter Ego","KAY/O",6,22,"27.27"
"JhoW","Keyd Stars (ex)","Cypher",6,25,"24.00"
"Zellsis","Version1 (Inactive) (ex)","Raze",6,21,"28.57"
"JhoW","Keyd Stars (ex)","Killjoy",6,25,"24.00"
"Hyzee","Fancy United Esports (ex)","Omen",6,17,"35.29"
"Nozwerr","FURIA (ex)","KAY/O",6,49,"12.24"
"Exy","DAMWON Gaming","Brimstone",6,58,"10.34"
"takej","REJECT (ex)","Viper",6,31,"19.35"
"GOLD","Desperado (si)","Astra",6,6,"100.00"
"BABYBAY","FaZe Clan","Raze",6,37,"16.22"
"hype","OG LDN UTD (ex)","Viper",6,21,"28.57"
"xnfri","NORTHEPTION (ex)","KAY/O",6,40,"15.00"
"JinboongE","HolyMolly (ex)","Skye",6,26,"23.08"
"murizzz","Keyd Stars (ex)","Skye",6,60,"10.00"
"CTC","Los Grandes (ex)","Sova",6,19,"31.58"
"murizzz","Keyd Stars (ex)","Viper",6,60,"10.00"
"murizzz","Keyd Stars (ex)","Killjoy",6,60,"10.00"
"Mited","FUSION","KAY/O",6,14,"42.86"
"pdr","Stars Horizon (ex)","Chamber",6,8,"75.00"
"RoaN","SunXet Club (ex)","KAY/O",6,11,"54.55"
"f1cio","Fancy United Esports","Chamber",6,13,"46.15"
"Cloud","Natus Vincere (ex)","KAY/O",6,35,"17.14"
"GODLIKE","World Game Star (ex)","Viper",6,57,"10.53"
"Chronicle","M3 Champions (ex)","Raze",6,81,"7.41"
"hype","OG LDN UTD (ex)","Cypher",6,21,"28.57"
"Johnqt","Ghost Gaming (ex)","Chamber",6,15,"40.00"
"RgLMeister","INGAMING Esports (ex)","Viper",6,9,"66.67"
"zennakukinn","BLUE BEES.ESP (ex)","Skye",6,13,"46.15"
"cauanzin","Ninjas in Pyjamas (ex)","Skye",6,66,"9.09"
"Witz","Team Secret (ex)","Skye",6,24,"25.00"
"Moves","Maru Gaming (ex)","Sova",6,32,"18.75"
"zepher","REJECT (ex)","Chamber",6,31,"19.35"
"bucher","FOKUS (ex)","Cypher",6,12,"50.00"
"GodDead","On Sla2ers","Raze",6,49,"12.24"
"Alfajer","FNATIC","Viper",6,45,"13.33"
"brawk","Ghost Gaming (ex)","Breach",6,15,"40.00"
"Jonn","Ninjas in Pyjamas (ex)","Sage",6,66,"9.09"
"WRONSKI","ORDER (ex)","Chamber",6,16,"37.50"
"Puleule","9z Team","Viper",6,39,"15.38"
"Puleule","9z Team","Brimstone",6,39,"15.38"
"leonzhett","PAMPAS (ex)","Sova",6,11,"54.55"
"Sushi","EBRO Gaming (ex)","Killjoy",6,11,"54.55"
"pyth","Bleed Esports (ex)","Breach",6,37,"16.22"
"Torrify","FUSION (ex)","Chamber",6,12,"50.00"
"pr0xy","Spear Gaming (ex)","Killjoy",6,30,"20.00"
"TENNN","ZETA DIVISION","KAY/O",6,63,"9.52"
"bazz","FAV gaming","Viper",6,23,"26.09"
"Jonn","Ninjas in Pyjamas (ex)","KAY/O",6,66,"9.09"
"mNdS","MIBR (ex)","Omen",6,17,"35.29"
"pyth","Bleed Esports (ex)","Viper",6,37,"16.22"
"JoXJo","NORTHEPTION (ex)","Fade",6,40,"15.00"
"AslaN","BIG (ex)","Omen",6,25,"24.00"
"poised","Rise (ex)","Astra",6,12,"50.00"
"AYRIN","XSET (ex)","Brimstone",6,66,"9.09"
"Fuzari","Gamelanders Blue (ex)","Cypher",6,24,"25.00"
"Russ","Guild Esports (ex)","Breach",6,47,"12.77"
"Russ","Guild Esports (ex)","KAY/O",6,47,"12.77"
"ryotzz","TBK Esports","Fade",6,38,"15.79"
"jzz","MIBR","Raze",6,17,"35.29"
"TORANECO","BLUE BEES.ESP (ex)","Omen",6,6,"100.00"
"poem","IGZIST","KAY/O",6,19,"31.58"
"mazin","FURIA","KAY/O",6,49,"12.24"
"YaBoiLewis","FOKUS","Raze",6,12,"50.00"
"maxie","Bleed Esports (ex)","Astra",6,37,"16.22"
"sakurai","Hexad (ex)","Jett",6,6,"100.00"
"Tio","Movistar Optix","Chamber",6,27,"22.22"
"QutionerX","BBL Esports","Chamber",6,26,"23.08"
"AsLanM4shadoW","BBL Esports","KAY/O",6,26,"23.08"
"kobra","Sengoku Gaming (ex)","Jett",6,7,"85.71"
"mada","Luminosity Gaming (ex)","KAY/O",6,33,"18.18"
"Sk9Na","Team GP (ex)","Sova",6,6,"100.00"
"BcJ","XSET (ex)","Fade",6,66,"9.09"
"ScreaM","Team Liquid (ex)","Skye",6,75,"8.00"
"redwater877","Team T5","Skye",6,22,"27.27"
"ScreaM","Team Liquid (ex)","KAY/O",6,75,"8.00"
"Hoody","G2 Esports (Inactive) (ex)","Breach",6,57,"10.53"
"bazz","FAV gaming","Omen",6,23,"26.09"
"skrawl","Bonkers(OCE) (ex)","Sova",6,8,"75.00"
"MOLSI","OG LDN UTD (ex)","Raze",6,21,"28.57"
"tex","NRG Esports (ex)","KAY/O",6,39,"15.38"
"koalanoob","Ghost Gaming (ex)","Jett",6,15,"40.00"
"Khalil","FURIA","Brimstone",6,49,"12.24"
"pho","Evil Geniuses (ex)","Astra",6,12,"50.00"
"aspas","LOUD","Chamber",6,67,"8.96"
"AYRIN","XSET (ex)","Astra",6,66,"9.09"
"YaBoiLewis","FOKUS","KAY/O",6,12,"50.00"
"Kadoom","Made in Thailand","Chamber",6,28,"21.43"
"TiGG","Luminosity Gaming (ex)","Brimstone",6,33,"18.18"
"xnfri","NORTHEPTION (ex)","Raze",6,40,"15.00"
"NiSMO","Ghost Gaming (ex)","Raze",6,15,"40.00"
"Xdll","BLUE BEES.ESP (ex)","Astra",6,13,"46.15"
"soulcas","Team Liquid","Neon",6,75,"8.00"
"Phantom","FAV gaming","Sova",6,23,"26.09"
"iluri","FOKUS (ex)","Sova",6,12,"50.00"
"Xander","FUSION","Jett",6,14,"42.86"
"eKo","Reignite (ex)","Sova",6,10,"60.00"
"neptune","Rise (ex)","KAY/O",6,12,"50.00"
"neptune","Rise (ex)","Raze",6,12,"50.00"
"blaZek1ng","BOOM Esports","KAY/O",6,45,"13.33"
"Harry","HolyMolly","Chamber",6,26,"23.08"
"Reformed","Evil Geniuses","KAY/O",6,35,"17.14"
"Dreamas","LDN UTD (ex)","Killjoy",6,12,"50.00"
"iRdy","World Game Star","Breach",6,59,"10.17"
"blaZek1ng","BOOM Esports","Astra",6,45,"13.33"
"Shiro","Onic Esports (ex)","Fade",6,38,"15.79"
"HaReeee","REJECT (ex)","Sage",6,10,"60.00"
"iRdy","World Game Star","Skye",6,59,"10.17"
"XXiF","Knights (ex)","Sage",6,17,"35.29"
"dimasick","Team Liquid","Brimstone",6,26,"23.08"
"diewijAs","PAMPAS (ex)","Cypher",6,11,"54.55"
"Xander","FUSION","Chamber",6,14,"42.86"
"kellyS","Rex Regum Qeon (ex)","Raze",6,8,"75.00"
"swag","Team Vikings (ex)","Killjoy",6,9,"66.67"
"L1NK","Team Liquid (ex)","Viper",6,38,"15.79"
"Keria","Spear Gaming","Breach",6,30,"20.00"
"Destrian","LDN UTD (ex)","Breach",6,12,"50.00"
"Deryeon","Bleed Esports (ex)","Raze",6,37,"16.22"
"jawgemo","Evil Geniuses","KAY/O",6,35,"17.14"
"aimDLL","BBL Esports","Breach",5,26,"19.23"
"SkRossi","Global Esports","Chamber",5,5,"100.00"
"kon4n","TBK Esports (ex)","Skye",5,38,"13.16"
"Boo","OG LDN UTD (ex)","Sage",5,21,"23.81"
"krain","Liberty","Sova",5,20,"25.00"
"SicK","Sentinels (ex)","KAY/O",5,24,"20.83"
"Kush","Alter Ego","Sova",5,22,"22.73"
"SicK","Sentinels (ex)","Raze",5,24,"20.83"
"KuuKai","Crest Gaming ZST (ex)","Skye",5,7,"71.43"
"penny","Version1 (Inactive) (ex)","Chamber",5,21,"23.81"
"Shun","No Namers (ex)","Sova",5,5,"100.00"
"L1NK","Team Liquid (ex)","Breach",5,38,"13.16"
"Boo","OG LDN UTD (ex)","Astra",5,21,"23.81"
