"Ign","Team","Acs","Matches"
"kon4n","TBK Esports (ex)",219,38
"こころん","looking for a name",219,2
"Izzy","SuperMassive",218,11
"takej","REJECT (ex)",218,31
"tuyz","TBK Esports (ex)",218,38
"Nozz","Bonkers(OCE) (ex)",218,8
"Fross","SunXet Club",218,11
"frz","MIBR",218,17
"Zyppan","FunPlus Phoenix (ex)",217,95
"Boostio","Evil Geniuses",217,35
"s0m","NRG Esports",217,39
"NAOS JA","South Built Esports (ex)",217,11
"trent","The Guard",217,55
"CTC","Los Grandes (ex)",217,19
"Secret","Desperado (ex)",217,21
"KILLDREAMST","Sharks Esports (ex)",216,9
"Famouz","BOOM Esports (ex)",216,18
"zennakukinn","BLUE BEES.ESP (ex)",216,13
"Kiuuuu","Oblivion Force",216,4
"Quick","FURIA",216,49
"gMd","TSM (ex)",215,10
"GLAB zey","NAOS Esports (ex)",215,2
"7ssk7","Natus Vincere (ex)",215,35
"koalanoob","Ghost Gaming (ex)",215,15
"ringring","CNJ Esports",214,6
"BRNWOWZK1","INGAMING Esports (ex)",214,9
"Mazino","KRÜ Esports (ex)",214,73
"azys","South Built Esports (ex)",214,11
"Flynch","Persija Esports (ex)",214,16
"SID","VPZ",214,4
"Twinte","looking for a name (ex)",214,2
"10X","Brimstone (si)",214,7
"MuuShock","Rebellion Arts",214,2
"TENNN","ZETA DIVISION",214,63
"neptune","Rise (ex)",213,12
"Bangnan","DAMWON Gaming (ex)",213,28
"Shun","No Namers (ex)",213,5
"wippie","Version1 (Inactive) (ex)",213,21
"yoman","Next eSports (ex)",213,4
"Victor","OpTic Gaming (ex)",213,111
"Sylvan","World Game Star",212,59
"DEATHMAKER","Velocity Gaming",212,6
"david","PAMPAS (ex)",212,11
"mada","Luminosity Gaming (ex)",212,33
"rubkkoide","PAMPAS (ex)",212,11
"skuba","Knights (ex)",212,17
"cauanzin","Ninjas in Pyjamas (ex)",211,66
"Saadhak","LOUD",211,67
"fl1pzjder","BOOM Esports (ex)",211,45
"RND","Los Grandes (ex)",211,19
"SUTHER","9z Team (ex)",211,32
"Zellsis","Version1 (Inactive) (ex)",211,21
"Kant","VPZ (ex)",210,4
"feqew","LDN UTD (ex)",210,12
"Harry","HolyMolly",210,26
"Dobsha","E-Xolos LAZER (ex)",210,7
"Will","100 Thieves (ex)",210,42
"popogachi","Crazy Raccoon",210,40
"jcStani","100 Thieves (ex)",210,8
"Marved","OpTic Gaming",210,111
"Subroza","TSM (ex)",209,10
"Yso","TRIDENT (ex)",209,2
"SugarZ3ro","ZETA DIVISION",209,63
"MONSTEERR","Acend (ex)",209,24
"Nozwerr","FURIA (ex)",209,49
"kellyS","Rex Regum Qeon (ex)",209,8
"JitboyS","FW Esports (ex)",208,5
"Teerapong","FW Esports",208,5
"Exy","DAMWON Gaming",208,58
"Apinya","FW Esports (ex)",208,5
"GangPin","Sengoku Gaming (ex)",208,7
"k1Ng","On Sla2ers (ex)",208,55
"EndU","Team GP",208,6
"swag","Team Vikings (ex)",208,9
"REV1","Pentagon",208,5
"noxxy","Alter Ego (si)",207,22
"bang","100 Thieves",207,50
"BORKUM","Team Secret",207,27
"Moose","Shopify Rebellion",207,4
"THEE","FULL SENSE",207,11
"matheuzin","TBK Esports",207,38
"tex","NRG Esports (ex)",207,39
"eeiu","NRG Esports (ex)",207,39
"DDcream","Pentagon",207,5
"NakJi","Maru Gaming (ex)",207,58
"mixwell","G2 Esports (Inactive) (ex)",207,52
"NagZ","KRÜ Esports",206,73
"Reita","REJECT (ex)",206,31
"YESicaN","Fancy United Esports",206,17
"Killer0714","DetonatioN Gaming White",206,4
"feqew","OG LDN UTD (ex)",206,21
"Lumo","Insomnia (ex)",206,3
"SicK","Sentinels (ex)",205,24
"f1cio","Fancy United Esports",205,13
"AlKawai","Insomnia (ex)",205,3
"Maverick","Stars Horizon (ex)",205,8
"GodDead","On Sla2ers",204,55
"XXiF","Knights (ex)",204,17
"Wavy","CNJ Esports",204,24
"musashi","BIG (ex)",204,12
"supamen","FaZe Clan",204,37
"RgLMeister","Keyd Stars (ex)",204,35
"rDeeW","ORDER (ex)",204,16
"Shao","FunPlus Phoenix (ex)",204,95
"XiSTOU","SuperMassive (ex)",204,11
"Redgar","Gambit Esports (ex)",203,5
"adverso","Leviatán (ex)",203,71
"Suda","SETOUCHI ENLIFE (ex)",203,2
"Eeyore","Persija Esports",203,16
"Vibhor","Velocity Gaming (ex)",203,6
"Anna","Next eSports (ex)",203,2
