"Ign","Team","Acs","Matches"
"Dani","Sentinels (si)",156,2
"Sacchi","SchwarzerLand",156,2
"poem","IGZIST",155,19
"Majestyy","FW Esports",154,5
"Creative","GoNGo Prince",154,2
"Dispenser","Team Secret",154,20
"Solution","FUSION (ex)",154,4
"Dszera","Team Vikings (ex)",154,9
"Hate","DAMWON Gaming (ex)",153,28
"ec1s","100 Thieves (ex)",153,5
"Biju","IXA (ex)",153,5
"hypathor","Oblivion Force",153,4
"Suke","SYSTEM e-Sports",152,2
"Myself","AWS",152,2
"Machao","DetonatioN Gaming White (ex)",151,2
"JhoW","Keyd Stars (ex)",151,25
"Purp0","M3 Champions (ex)",151,1
"大西大和","SETOUCHI ENLIFE (ex)",151,2
"NANZIN","Stars Horizon",150,8
"Nikumanyaro","SYSTEM e-Sports (ex)",150,2
"CyderX","SuperMassive (ex)",149,11
"Yacine","Guild Esports",149,7
"Veroneze","Team Vikings (ex)",148,9
"侵略者","ややーず",148,2
"Kaspe","BIG (ex)",147,13
"RHZ","Keyd Stars (ex)",147,35
"PADO","Veronica7 (ex)",146,5
"munghoon","VPZ",146,4
"nAts","Gambit Esports (ex)",146,5
"kiles","Acend (ex)",145,13
"Haxball","VPZ",145,4
"SeolHo","Spear Gaming (ex)",145,7
"Frosty","Knights (ex)",145,17
"Rawkus","Sentinels (ex)",144,6
"Wonjina","Next eSports",142,4
"DxN","No Namers (ex)",142,5
"GwangUh","Tartarus (ex)",142,16
"Haner","K2 eSports (ex)",142,2
"Namikaze","SETOUCHI ENLIFE (ex)",141,2
"pdr","Stars Horizon (ex)",141,8
"Flash","Rex Regum Qeon",140,1
"KappA","Global Esports",138,5
"kurtesy","Oasis Gaming",138,2
"Shiroe","Mariner",137,2
"Puupop","Mariner",135,2
"AztKk","FUSION (ex)",134,4
"NeruFi","REJECT (si)",134,1
"HellrangeR","Global Esports",134,5
"silver","K2 eSports (ex)",133,2
"hiyokomaru","SYSTEM e-Sports",132,2
"Poach","FaZe Clan (ex)",132,2
"azuma","K2 eSports (ex)",130,2
"Toto","GyoGun",128,2
"Melofovia","DetonatioN Gaming White (ex)",125,3
"CyderX","BBL Esports (si)",123,4
"Maru","Mariner",122,2
"sachi","Rebellion Arts (ex)",121,2
"ZONBee","GyoGun",117,2
"KAMEReon","AWS (ex)",116,2
"40pingSterry","SETOUCHI ENLIFE",114,2
"Gabriel","AWS",113,2
"YAYA","ややーず",111,2
"Ask","Reignite",107,2
"Zan","Focus e-Sports",106,2
"Pa1n","Focus e-Sports",104,2
"Leo","SYSTEM e-Sports",97,2
"Siro","looking for a name (ex)",96,2
"P4F","SchwarzerLand",76,2
"fiN","SYSTEM e-Sports",68,2
