"Ign","Team","Opponents","Clutches","Clutch Failures"
"RgLMeister","INGAMING Esports (ex)",,8,34
"NoriseN","REJECT (ex)",,8,34
"zepher","REJECT (ex)",,14,60
"Dispenser","Team Secret",,7,30
"mixwell","G2 Esports (Inactive) (ex)",,20,86
"BerserX","BOOM Esports",,13,56
"Meteor","NORTHEPTION (ex)",,13,56
"JoXJo","NORTHEPTION (ex)",,16,69
"Jonn","Ninjas in Pyjamas (ex)",,19,82
"Medusa","REJECT (ex)",,12,52
"Shao","FunPlus Phoenix (ex)",,56,244
"k1Ng","On Sla2ers (ex)",,19,83
"koldamenta","Guild Esports",,23,101
"Zellsis","Version1 (Inactive) (ex)",,5,22
"poised","Rise (ex)",,5,22
"AsLanM4shadoW","BBL Esports",,10,44
"ParkJJong","Tartarus (ex)",,9,40
"Redgar","M3 Champions (ex)",,11,49
"wannafly","Made in Thailand",,17,76
"CHICHOO","EDward Gaming",,4,18
"skrawl","Bonkers(OCE) (ex)",,4,18
"sakurai","Hexad (ex)",,2,9
"keznit","KRÜ Esports (ex)",,22,99
"Nivera","Team Liquid (ex)",,34,154
"Victor","OpTic Gaming (ex)",,27,123
"Shyy","Leviatán",,14,64
"nAts","M3 Champions (ex)",,24,110
"Lok1","CERBERUS Esports (ex)",,10,46
"Jamppi","Team Liquid",,28,129
"Rainy","Griffin E-Sports",,8,37
"Delz1k","KRÜ Esports (ex)",,27,125
"RIPablo","IGZIST",,9,42
"neptune","Rise (ex)",,3,14
"pollo","Team Vikings (ex)",,3,14
"tinggg2k5","CERBERUS Esports",,3,14
"Jeong Hi","Maru Gaming (ex)",,18,84
"Zyppan","FunPlus Phoenix (ex)",,25,117
"tehbotol","BOOM Esports (ex)",,20,94
"supamen","FaZe Clan",,20,94
"7ssk7","Natus Vincere (ex)",,17,80
"Jeong Hi","DAMWON Gaming (ex)",,11,52
"TenZ","Sentinels",,13,62
"roseaufy","Persija Esports",,13,62
"MaKo","DRX",,38,182
"Phantom","FAV gaming",,10,48
"Less","LOUD",,20,96
"Xeppaa","Cloud9",,15,72
"BuZz","DRX",,29,140
"Maple","ORDER (ex)",,6,29
"Derrek","100 Thieves",,25,121
"Tio","Movistar Optix",,19,92
"Keria","Spear Gaming",,13,63
"Witz","Team Secret (ex)",,9,44
"sheydos","M3 Champions (ex)",,19,93
"Kush","Alter Ego",,11,54
"f0rsakeN","Paper Rex",,13,64
"axeLuvY","Alter Ego (ex)",,15,74
"crashies","OpTic Gaming (ex)",,45,222
"thiefy","Sengoku Gaming (ex)",,3,15
"ableJ","FURIA (ex)",,12,60
"NAOS JA","South Built Esports (ex)",,5,25
"Destrian","LDN UTD (ex)",,4,20
"Genghsta","Knights (ex)",,7,35
"SicK","Sentinels (ex)",,9,45
"sheydos","Gambit Esports (ex)",,3,15
"LEXY","Bleed Esports (si)",,1,5
"侵略者","ややーず",,1,5
"d3ffo","Gambit Esports (ex)",,1,5
"Marky","Oasis Gaming",,1,5
"Moose","Shopify Rebellion",,4,20
"2KY","SchwarzerLand",,1,5
"ClarK","World Game Star (ex)",,1,5
"corey","TSM (ex)",,6,30
"Boo","OG LDN UTD (ex)",,10,50
"Kr1stal","BLUE BEES.ESP (ex)",,5,25
"Meiy","Crazy Raccoon",,9,45
"dgzin","Gamelanders Blue (ex)",,9,45
"Anthem","SCARZ (ex)",,1,5
"MqsaaV","Mariner",,1,5
"seven","TSM (ex)",,3,15
"RgLMeister","Keyd Stars (ex)",,17,85
"pleets","Los Grandes",,8,40
"hypathor","Oblivion Force",,2,10
"Mistic","FNATIC (ex)",,27,136
"NagZ","KRÜ Esports",,31,157
"adverso","Leviatán (ex)",,19,97
"sheydos","M3 Champions",,24,123
"trent","The Guard",,24,123
"gustt1nha","Los Grandes (ex)",,8,41
"Klaus","KRÜ Esports",,30,154
"Duno","Natus Vincere (ex)",,18,93
"Dcop","FUSION",,6,31
"Xandrite","NORTHEPTION (ex)",,6,31
"Peloncito","E-Xolos LAZER",,6,31
"Munchkin","Crazy Raccoon (ex)",,5,26
