"Ign","Team","Spend"
"lenne","Bleed Esports (ex)","2006650"
"Duno","Natus Vincere (ex)","1977000"
"cNed","Acend (ex)","1974050"
"JoXJo","NORTHEPTION (ex)","1973850"
"deigara","9z Team","1970150"
"dinkzj","Natus Vincere (ex)","1969000"
"L1NK","Team Liquid (ex)","1958900"
"ableJ","FURIA (ex)","1945300"
"mada","Luminosity Gaming (ex)","1943050"
"d3ffo","M3 Champions (ex)","1929550"
"xnfri","NORTHEPTION (ex)","1920700"
"Puleule","9z Team","1906700"
"Astell","Crazy Raccoon","1901350"
"dazzLe","Luminosity Gaming (ex)","1883750"
"TiGG","Luminosity Gaming (ex)","1882100"
"sheydos","M3 Champions (ex)","1865950"
"Moose","Luminosity Gaming (ex)","1861800"
"bdog","Luminosity Gaming (ex)","1850450"
"7ssk7","Natus Vincere (ex)","1839600"
"Mizu","9z Team","1835000"
"vaiZ","Leviatán (ex)","1829550"
"Chronicle","M3 Champions (ex)","1808200"
"Redgar","M3 Champions (ex)","1804200"
"nAts","M3 Champions (ex)","1800800"
"bnj","Ninjas in Pyjamas (ex)","1738350"
"SUTHER","9z Team (ex)","1726050"
"HANLING","9z Team (ex)","1653950"
"Kongared","Made in Thailand","1652950"
"Kadoom","Made in Thailand","1623000"
"Moves","Maru Gaming (ex)","1610100"
"RgLMeister","Keyd Stars (ex)","1608050"
"Ssun","Spear Gaming (ex)","1606650"
"AloNeFillz","Made in Thailand","1600700"
"Jeong Hi","Maru Gaming (ex)","1592550"
"Reita","REJECT (ex)","1587650"
"Medusa","REJECT (ex)","1571700"
"RHZ","Keyd Stars (ex)","1560550"
"vickt0r","Movistar Optix","1539500"
"wannafly","Made in Thailand","1534000"
"zepher","REJECT (ex)","1524200"
"pr0xy","Spear Gaming (ex)","1522900"
"takej","REJECT (ex)","1520100"
"Tuli","Movistar Optix (ex)","1514300"
"zeek","Acend (ex)","1510750"
"gio","Movistar Optix","1502450"
"Keria","Spear Gaming","1481200"
"AsLanM4shadoW","BBL Esports","1478800"
"Munchkin","Crazy Raccoon (ex)","1477500"
"dimasick","Team Liquid","1476600"
"QutionerX","BBL Esports","1467900"
"Bangnan","DAMWON Gaming (ex)","1455350"
"Ethan","NRG Esports (ex)","1421200"
"Obnoks","BIG (ex)","1419050"
"Twisten","BIG (ex)","1413250"
"Derialy","NORTHEPTION","1399100"
"chase","Gamelanders Blue (ex)","1393200"
"aimDLL","BBL Esports","1392800"
"dgzin","Gamelanders Blue (ex)","1391050"
"Hate","DAMWON Gaming (ex)","1389800"
"xeta","Cloud9 (ex)","1383850"
"Apoth","Evil Geniuses","1366850"
"Fuzari","Gamelanders Blue (ex)","1363100"
"JhoW","Keyd Stars (ex)","1360950"
"Hermes","HolyMolly (ex)","1355900"
"C0M","Evil Geniuses","1353900"
"Jeong Hi","DAMWON Gaming (ex)","1348700"
"JessieVash","Team Secret","1345050"
"DubsteP","Team Secret","1344500"
"Wavy","CNJ Esports","1344000"
"SicK","Sentinels (ex)","1323000"
"10X","HolyMolly (ex)","1318700"
"Tio","Movistar Optix","1315750"
"BORKUM","Team Secret","1311000"
"v1xen","Keyd Stars (ex)","1309200"
"JinboongE","HolyMolly (ex)","1307650"
"vakk","Acend","1303400"
"zeddy","Natus Vincere (ex)","1301250"
"AslaN","BIG (ex)","1296600"
"MAGNUM","FNATIC (ex)","1296200"
"frostmind","BOOM Esports (ex)","1295800"
"Nyang","Gamelanders Blue","1293250"
"GwangUh","Maru Gaming (ex)","1290000"
"deLb","Alter Ego","1287200"
"Felix","HolyMolly (ex)","1260500"
"Harry","HolyMolly","1260050"
"Benecia","CNJ Esports","1253000"
"Kush","Alter Ego","1248000"
"Fisker","FAV gaming (ex)","1245800"
"hype","OG LDN UTD (ex)","1245100"
"Turko","BBL Esports","1242550"
"noxxy","Alter Ego (si)","1235950"
"MONSTEERR","Acend (ex)","1233300"
"pAura","BBL Esports (ex)","1228900"
"MOLSI","OG LDN UTD (ex)","1224550"
"Witz","Team Secret (ex)","1215950"
"ExiA","Spear Gaming","1211350"
"adrnking","Alter Ego","1208350"
"v1xen","Ninjas in Pyjamas (ex)","1189900"
"Boo","OG LDN UTD (ex)","1178400"
"Destrian","OG LDN UTD (ex)","1177900"
"redwater877","Team T5","1175650"
"axeLuvY","Alter Ego (ex)","1159500"
"liazzi","Liberty","1155100"
"SungJin","Spear Gaming (ex)","1153350"
"Minty","FAV gaming","1152500"
"feqew","OG LDN UTD (ex)","1142100"
"bazz","FAV gaming","1141750"
"LOB","FAV gaming","1131700"
"Moves","Team T5 (ex)","1131400"
"Secret","Desperado (ex)","1127650"
"Zellsis","Version1 (Inactive) (ex)","1120200"
"braveaf","FNATIC (ex)","1099700"
"penny","Version1 (Inactive) (ex)","1095750"
"Famouz","BOOM Esports (ex)","1094100"
"Delta","Maru Gaming (ex)","1089100"
"wippie","Version1 (Inactive) (ex)","1084450"
"vow","Team T5 (ex)","1083100"
"shion","Liberty (ex)","1080250"
"RyZzi","Desperado (ex)","1079400"
"effys","Version1 (Inactive) (ex)","1079300"
"myssen","Liberty","1078550"
"Phantom","FAV gaming","1078500"
"iNTRO","DAMWON Gaming (si)","1076750"
