"Ign","Team","Spend"
"Purp0","Acend (si)","152150"
"JREXXX","Insomnia (ex)","149400"
"Melofovia","DetonatioN Gaming White (ex)","147800"
"Rico","EVA:e (ex)","146600"
"Neal X","Insomnia (ex)","146000"
"Lumo","Insomnia (ex)","140300"
"Leazo","9z Team","136050"
"Paint","Insomnia (ex)","135750"
"SSeeS","DetonatioN Gaming White (ex)","133600"
"AlKawai","Insomnia (ex)","132350"
"hatty","ややーず (ex)","130850"
"xeta","Cloud9 (si)","124750"
"RIA","ややーず (ex)","123650"
"Creative","GoNGo Prince","120500"
"Life","EDward Gaming (ex)","116100"
"侵略者","ややーず","114850"
"GwangUh","Tartarus (si)","113250"
"Defectio","ややーず (ex)","112150"
"Machao","DetonatioN Gaming White (ex)","112050"
"YAYA","ややーず","109750"
"Ask","Reignite","108800"
"Kei","looking for a name","106400"
"azuma","K2 eSports (ex)","105500"
"Meimoo","Rebellion Arts","103350"
"pippi","Rebellion Arts","103250"
"Akame","K2 eSports (ex)","103200"
"reooooo","Rebellion Arts","102950"
"DaeGi","Tartarus (si)","102500"
"Muj","BBL Esports (ex)","101500"
"kurtesy","Oasis Gaming","100800"
"Wenty","Tartarus (si)","100700"
"ParkJJong","Tartarus (si)","98800"
"Ludens","K2 eSports (ex)","98650"
"SoGaTe","Tartarus (si)","98150"
"Dani","Sentinels (si)","97500"
"GLAB zey","NAOS Esports (ex)","97100"
"Siro","looking for a name (ex)","96850"
"Valll","Focus e-Sports (ex)","96800"
"こころん","looking for a name","95650"
"pouoxo","TRIDENT (ex)","94750"
"silver","K2 eSports (ex)","94600"
"Poach","FaZe Clan (ex)","94550"
"RELAXING","TRIDENT (ex)","93900"
"MuuShock","Rebellion Arts","93500"
"Learica","TRIDENT (ex)","93450"
"Twinte","looking for a name (ex)","93200"
"moco","TRIDENT (ex)","92900"
"AzeL","looking for a name (ex)","92900"
"wait","KRÜ Esports (ex)","92450"
"Haner","K2 eSports (ex)","92400"
"oikou","GyoGun (ex)","91350"
"MqsaaV","Mariner","90750"
"Shiroe","Mariner","90100"
"Pa1n","Focus e-Sports","90050"
"Lore","Focus e-Sports (ex)","89900"
"sachi","Rebellion Arts (ex)","89450"
"Anna","Next eSports (ex)","89150"
"P4F","SchwarzerLand","88700"
"UmiNtyU","Mariner","88500"
"大西大和","SETOUCHI ENLIFE (ex)","88400"
"sakurai","Crest Gaming ZST (ex)","87300"
"cuda","GyoGun (ex)","87200"
"shura","Focus e-Sports","86700"
"40pingSterry","SETOUCHI ENLIFE","86500"
"TAMAGO","AWS (ex)","86450"
"Maru","Mariner","85500"
"Flash","Rex Regum Qeon","85450"
"Suda","SETOUCHI ENLIFE (ex)","85150"
"Yso","TRIDENT (ex)","84900"
"Num","AWS (ex)","84050"
"KadosuK","GyoGun (ex)","84000"
"sickLy","FUSION","83750"
"Namikaze","SETOUCHI ENLIFE (ex)","83200"
"Zan","Focus e-Sports","83150"
"2KY","SchwarzerLand","82950"
"Puupop","Mariner","82400"
"Sacchi","SchwarzerLand","82100"
"KAMEReon","AWS (ex)","82050"
"Ripper","Oasis Gaming","81800"
"Toto","GyoGun","81700"
"ZONBee","GyoGun","81700"
"kobra","Crest Gaming ZST","80550"
"Gabriel","AWS","80450"
"Ran","SETOUCHI ENLIFE (ex)","77700"
"Citrus7","SchwarzerLand","76700"
"H1K","SchwarzerLand","76200"
"hiyokomaru","SYSTEM e-Sports","74050"
"Nikumanyaro","SYSTEM e-Sports (ex)","73150"
"Suke","SYSTEM e-Sports","71100"
"fiN","SYSTEM e-Sports","70350"
"Leo","SYSTEM e-Sports","66700"
"Myself","AWS","65050"
"KimGyuTae","Desperado (si)","63100"
"wait","KRÜ Esports (si)","60950"
"sakurai","REJECT (si)","59850"
"SyouTa","REJECT (si)","58400"
"takej","Crest Gaming ZST (si)","57850"
"kobra","REJECT (si)","56950"
"Reita","Crest Gaming ZST (si)","56900"
"Medusa","Crest Gaming ZST (si)","56000"
"zepher","Crest Gaming ZST (si)","53000"
"Purp0","M3 Champions (ex)","48950"
"NeruFi","REJECT (si)","46900"
"NoriseN","Crest Gaming ZST (si)","46600"
"SamuraiDeeper","REJECT (si)","44800"
