"Ign","Team","Agent","Rounds","Wins","Percentage"
"xeta","Cloud9 (ex)","Breach",132,89,"67.42"
"Shao","FunPlus Phoenix (ex)","Sage",58,39,"67.24"
"Klaus","KRÜ Esports","Cypher",149,100,"67.11"
"d4v41","Paper Rex","Sova",39,26,"66.67"
"Yacine","Guild Esports","Raze",39,26,"66.67"
"Johnqt","Ghost Gaming (ex)","Fade",42,28,"66.67"
"Estrella","Desperado (ex)","Raze",39,26,"66.67"
"aspas","LOUD","Jett",117,78,"66.67"
"Has1ra14","CNJ Esports","Sova",39,26,"66.67"
"Moothie","CNJ Esports (ex)","Reyna",39,26,"66.67"
"Asuna","100 Thieves","Skye",39,26,"66.67"
"dgzin","FURIA","Neon",39,26,"66.67"
"soulcas","Team Liquid","Raze",39,26,"66.67"
"v1xen","Keyd Stars (ex)","Brimstone",39,26,"66.67"
"Saadhak","LOUD","KAY/O",204,134,"65.69"
"Saadhak","LOUD","Skye",119,78,"65.55"
"Saadhak","LOUD","Sage",72,47,"65.28"
"이토히로부비부빗","Team T5 (ex)","Omen",20,13,"65.00"
"takej","REJECT (ex)","Chamber",20,13,"65.00"
"Has1ra14","Maru Gaming (ex)","Skye",20,13,"65.00"
"zepher","REJECT (ex)","Brimstone",20,13,"65.00"
"GodDead","On Sla2ers (si)","Sage",20,13,"65.00"
"L1NK","Team Liquid (ex)","Astra",20,13,"65.00"
"ANGE1","FunPlus Phoenix (ex)","Brimstone",60,39,"65.00"
"Xandrite","NORTHEPTION (ex)","Chamber",20,13,"65.00"
"frostmind","BOOM Esports (ex)","Sage",20,13,"65.00"
"Marmelo","Jadeite","Skye",20,13,"65.00"
"Medusa","REJECT (ex)","Neon",20,13,"65.00"
"Mistic","FNATIC (ex)","Sage",40,26,"65.00"
"mitch","Cloud9 (ex)","Cypher",40,26,"65.00"
"W1nner","Griffin E-Sports","Sova",20,13,"65.00"
"MOLSI","OG LDN UTD (ex)","Skye",20,13,"65.00"
"Enzo","FNATIC (ex)","Sova",100,65,"65.00"
"vanity","Cloud9","Astra",20,13,"65.00"
"vaiZ","Leviatán (ex)","Chamber",20,13,"65.00"
"Derrek","100 Thieves","Sova",20,13,"65.00"
"v1xen","Ninjas in Pyjamas (si)","Omen",20,13,"65.00"
"dephh","XSET (ex)","Brimstone",20,13,"65.00"
"v1nNy","Gamelanders Blue (ex)","Skye",20,13,"65.00"
"QutionerX","BBL Esports","Raze",20,13,"65.00"
"curry","Cloud9 (ex)","Fade",20,13,"65.00"
"Saadhak","LOUD","Breach",60,39,"65.00"
"Saadhak","LOUD","Raze",20,13,"65.00"
"crws","XERXIA Esports (ex)","Skye",60,39,"65.00"
"Bazzi","On Sla2ers (si)","Jett",20,13,"65.00"
"Secret","Desperado (ex)","Breach",20,13,"65.00"
"Cloud","Natus Vincere (ex)","Neon",20,13,"65.00"
"sheydos","M3 Champions (ex)","Skye",80,52,"65.00"
"sheydos","M3 Champions","Skye",80,52,"65.00"
"Zyppan","FunPlus Phoenix (ex)","Sage",20,13,"65.00"
"sushiboys","XERXIA Esports (ex)","Neon",20,13,"65.00"
"MaKo","DRX","Omen",102,66,"64.71"
"GODLIKE","World Game Star (ex)","Viper",104,67,"64.42"
"stax","DRX","KAY/O",146,94,"64.38"
"pANcada","LOUD (ex)","Omen",137,88,"64.23"
"adverso","Leviatán (ex)","Breach",95,61,"64.21"
"iRdy","World Game Star","Sage",131,84,"64.12"
"maxie","Bleed Esports (ex)","Astra",78,50,"64.10"
"cauanzin","Ninjas in Pyjamas (ex)","Sage",61,39,"63.93"
"d4v41","Paper Rex","Chamber",61,39,"63.93"
"Zest","DRX","Sage",102,65,"63.73"
"Sacy","LOUD (ex)","Sova",126,80,"63.49"
"GODLIKE","World Game Star (ex)","Jett",63,40,"63.49"
"iNTRO","DAMWON Gaming (ex)","Killjoy",41,26,"63.41"
"lenne","Bleed Esports (ex)","Skye",41,26,"63.41"
"AYRIN","XSET (ex)","Omen",82,52,"63.41"
"2GE","Rex Regum Qeon","Skye",41,26,"63.41"
"TiGG","Luminosity Gaming (ex)","KAY/O",41,26,"63.41"
"BlackWiz","NORTHEPTION","Omen",41,26,"63.41"
"Rabbet","Rex Regum Qeon","Sage",41,26,"63.41"
"stax","DRX","Skye",534,337,"63.11"
"iRdy","World Game Star","Sova",168,106,"63.10"
"NagZ","KRÜ Esports","Chamber",162,102,"62.96"
"NiSMO","Ghost Gaming (ex)","Raze",54,34,"62.96"
"aproto","Ghost Gaming (ex)","Astra",54,34,"62.96"
"murizzz","Keyd Stars (ex)","Viper",62,39,"62.90"
"JhoW","Keyd Stars (ex)","Sage",62,39,"62.90"
"bang","100 Thieves","Brimstone",62,39,"62.90"
"adrnking","Alter Ego","Skye",78,49,"62.82"
"ANDROID","NRG Esports (ex)","Killjoy",43,27,"62.79"
"Less","LOUD","Killjoy",129,81,"62.79"
"something","BLUE BEES.ESP (ex)","Jett",59,37,"62.71"
"Derke","FNATIC","Chamber",254,159,"62.60"
"Enzo","FNATIC (ex)","Viper",64,40,"62.50"
"Rb","DRX","Raze",130,81,"62.31"
"SUYGETSU","FunPlus Phoenix (ex)","Viper",130,81,"62.31"
"GodDead","On Sla2ers","Breach",66,41,"62.12"
"Jamppi","Team Liquid","Jett",21,13,"61.90"
"adverso","Leviatán (ex)","Skye",21,13,"61.90"
"zennakukinn","BLUE BEES.ESP (ex)","Breach",21,13,"61.90"
"AvovA","G2 Esports (Inactive) (ex)","Viper",21,13,"61.90"
"Tempz","No Namers (ex)","KAY/O",21,13,"61.90"
"Benkai","Paper Rex","Viper",42,26,"61.90"
"takej","REJECT (ex)","Astra",21,13,"61.90"
"blaZek1ng","BOOM Esports","Sage",21,13,"61.90"
"bnj","9z Team (si)","Fade",21,13,"61.90"
"Suggest","DetonatioN Gaming White (ex)","Jett",21,13,"61.90"
"SSeeS","DetonatioN Gaming White (ex)","Skye",21,13,"61.90"
"BuZz","DRX","Astra",21,13,"61.90"
"SiuFatBB","Griffin E-Sports","Yoru",21,13,"61.90"
"sheydos","M3 Champions","Fade",42,26,"61.90"
"crow","ZETA DIVISION","Sova",21,13,"61.90"
"d3ffo","M3 Champions (ex)","Raze",21,13,"61.90"
"Puleule","9z Team","Sova",21,13,"61.90"
"pollo","Team Vikings (ex)","Chamber",21,13,"61.90"
"Nivera","Team Liquid (ex)","KAY/O",21,13,"61.90"
"neth","Crazy Raccoon","Cypher",42,26,"61.90"
"DxN","No Namers (ex)","Killjoy",21,13,"61.90"
"eeiu","NRG Esports (ex)","Skye",21,13,"61.90"
"Eeyore","Persija Esports","Chamber",21,13,"61.90"
"mindfreak","Paper Rex","Viper",168,104,"61.90"
"Flynch","Persija Esports (ex)","Neon",21,13,"61.90"
"foxz","XERXIA Esports (ex)","KAY/O",21,13,"61.90"
"Harry","HolyMolly","Viper",21,13,"61.90"
"JinboongE","HolyMolly (ex)","Breach",21,13,"61.90"
"Jemkin","BLUE BEES.ESP (ex)","Raze",21,13,"61.90"
"iNTRO","DAMWON Gaming (si)","Breach",21,13,"61.90"
"stax","DRX","Fade",68,42,"61.76"
"Bazzi","On Sla2ers (ex)","Raze",68,42,"61.76"
"k1Ng","On Sla2ers (ex)","Viper",102,63,"61.76"
"GodDead","On Sla2ers","KAY/O",34,21,"61.76"
"Zest","DRX","Fade",224,138,"61.61"
"murizzz","Keyd Stars (ex)","Killjoy",91,56,"61.54"
"BuZz","DRX","Chamber",286,176,"61.54"
"JonahP","The Guard","KAY/O",39,24,"61.54"
"Exy","DAMWON Gaming","Omen",52,32,"61.54"
"MaKo","DRX","Viper",140,86,"61.43"
"Delz1k","KRÜ Esports (ex)","Brimstone",44,27,"61.36"
"crashies","OpTic Gaming (ex)","Skye",132,81,"61.36"
"Jinggg","Paper Rex","Raze",308,189,"61.36"
"dephh","XSET (ex)","KAY/O",106,65,"61.32"
"Jinggg","Paper Rex","Sage",106,65,"61.32"
"Bazzi","On Sla2ers (ex)","Jett",67,41,"61.19"
"TENNN","ZETA DIVISION","Sage",103,63,"61.17"
"Delend","Made in Thailand (ex)","Brimstone",59,36,"61.02"
"JinboongE","Brimstone (ex)","KAY/O",64,39,"60.94"
"f0rsakeN","Paper Rex","Neon",120,73,"60.83"
"MaKo","DRX","Brimstone",94,57,"60.64"
"Mazino","KRÜ Esports (ex)","KAY/O",109,66,"60.55"
"RHZ","Keyd Stars (ex)","Sova",38,23,"60.53"
"T3xture","DAMWON Gaming (ex)","Chamber",38,23,"60.53"
