"Ign","Team","Kills","Deaths","Assists","Kd"
"zunba","On Sla2ers (ex)",666,590,330,"1.13"
"rDeeW","ORDER (ex)",224,199,100,"1.13"
"popogachi","Crazy Raccoon",576,513,309,"1.12"
"SkRossi","Global Esports",93,83,7,"1.12"
"Sylvan","World Game Star",893,797,366,"1.12"
"tixx","Bonkers(OCE) (ex)",140,125,85,"1.12"
"Nexi","Rex Regum Qeon (ex)",131,117,26,"1.12"
"FREY","Gaimin Gladiators (ex)",95,85,16,"1.12"
"Wenty","Tartarus (si)",38,34,6,"1.12"
"RgLMeister","Keyd Stars (ex)",458,410,223,"1.12"
"wannafly","Made in Thailand",479,429,132,"1.12"
"jcStani","100 Thieves (ex)",135,121,49,"1.12"
"dgzin","FURIA",265,238,57,"1.11"
"jzz","MIBR",317,285,56,"1.11"
"bdog","Luminosity Gaming (ex)",574,518,119,"1.11"
"MatiS","EBRO Gaming (ex)",185,167,37,"1.11"
"liazzi","Liberty",352,318,91,"1.11"
"DubsteP","Team Secret",429,388,105,"1.11"
"THEE","FULL SENSE",178,161,37,"1.11"
"cNed","Acend (ex)",629,569,112,"1.11"
"7ssk7","Natus Vincere (ex)",594,538,112,"1.10"
"Monyet","Onic Esports (ex)",680,616,164,"1.10"
"Shun","No Namers (ex)",76,69,33,"1.10"
"Jinggg","Paper Rex",1077,978,336,"1.10"
"xeta","Cloud9 (si)",33,30,20,"1.10"
"TenzouEz","DeToNator (ex)",56,51,28,"1.10"
"Maple","ORDER (ex)",226,206,110,"1.10"
"trexx","Guild Esports",911,831,374,"1.10"
"Ssun","Spear Gaming (ex)",536,489,107,"1.10"
"QutionerX","BBL Esports",454,415,92,"1.09"
"Deryeon","Bleed Esports (ex)",665,609,136,"1.09"
"NAOS JA","South Built Esports (ex)",180,165,64,"1.09"
"LEXY","Bleed Esports (si)",48,44,11,"1.09"
"kon4n","TBK Esports (ex)",641,588,231,"1.09"
"Jamppi","Team Liquid",1271,1167,271,"1.09"
"supamen","FaZe Clan",600,551,288,"1.09"
"Surf","XERXIA Esports (ex)",1032,948,177,"1.09"
"zekken","XSET (ex)",1079,993,390,"1.09"
"gMd","TSM (ex)",176,162,65,"1.09"
"Kei","looking for a name",38,35,3,"1.09"
"rDeeW","Bonkers(OCE) (ex)",127,117,24,"1.09"
"GangPin","Sengoku Gaming (ex)",89,82,31,"1.09"
"Zest","DRX",1238,1141,586,"1.09"
"LAMMYSNAX","FULL SENSE (ex)",154,142,69,"1.08"
"NoMan","Oblivion Force (ex)",77,71,15,"1.08"
"allow","Jadeite (ex)",207,191,39,"1.08"
"Mazino","KRÜ Esports (ex)",1129,1042,520,"1.08"
"mindfreak","Paper Rex",857,791,392,"1.08"
"Meddo","G2 Esports (Inactive) (ex)",859,793,256,"1.08"
"Medusa","REJECT (ex)",464,429,150,"1.08"
"SiuFatBB","Griffin E-Sports",255,236,50,"1.08"
"corey","TSM (ex)",165,153,28,"1.08"
"K1llgrave","DeToNator (ex)",55,51,18,"1.08"
"Johnqt","Ghost Gaming (ex)",222,206,92,"1.08"
"Vera","No Namers (ex)",85,79,21,"1.08"
"Marved","OpTic Gaming",1728,1607,780,"1.08"
"BABYBAY","FaZe Clan",668,622,176,"1.07"
"matheuzin","TBK Esports",598,557,220,"1.07"
"HANN","World Game Star",920,857,190,"1.07"
"tuyz","TBK Esports (ex)",644,600,137,"1.07"
"ZmjjKK","EDward Gaming",88,82,16,"1.07"
"adverso","Leviatán (ex)",1060,988,459,"1.07"
"Cloud","Natus Vincere (ex)",619,577,213,"1.07"
"azys","South Built Esports (ex)",179,167,36,"1.07"
"Melser","Leviatán (ex)",977,913,515,"1.07"
"MONSTEERR","Acend (ex)",370,346,109,"1.07"
"JUGi","FOKUS",216,202,55,"1.07"
"koalanoob","Ghost Gaming (ex)",248,232,41,"1.07"
"v1xen","Ninjas in Pyjamas (si)",125,117,64,"1.07"
"pyth","Bleed Esports (ex)",565,529,190,"1.07"
"Shyy","Leviatán",549,515,314,"1.07"
"Saadhak","LOUD",973,913,574,"1.07"
"eeiu","NRG Esports (ex)",604,567,257,"1.07"
"Zellsis","Version1 (Inactive) (ex)",316,297,191,"1.06"
"Smoggy","EDward Gaming",50,47,24,"1.06"
"TenZ","Sentinels",647,609,142,"1.06"
"LOB","FAV gaming",307,289,113,"1.06"
"fl1pzjder","BOOM Esports (ex)",711,670,220,"1.06"
"vaiZ","Leviatán (ex)",494,466,208,"1.06"
"Wenty","Tartarus (ex)",213,201,26,"1.06"
"BORKUM","Team Secret",391,369,174,"1.06"
"disk0","ORDER (ex)",218,206,81,"1.06"
"Xeppaa","Cloud9",767,725,361,"1.06"
"Dobsha","E-Xolos LAZER (ex)",110,104,15,"1.06"
"NakJi","Maru Gaming (ex)",852,806,268,"1.06"
"iNTRO","DAMWON Gaming (si)",316,299,102,"1.06"
"takej","Crest Gaming ZST (si)",19,18,5,"1.06"
"Shiro","Onic Esports (ex)",554,525,259,"1.06"
"Kishi","CERBERUS Esports (ex)",234,222,55,"1.05"
"Harry","HolyMolly",372,353,97,"1.05"
"Quick","FURIA",825,783,166,"1.05"
"Kadoom","Made in Thailand",496,471,108,"1.05"
"d4v41","Paper Rex",864,821,398,"1.05"
"neth","Crazy Raccoon",547,520,249,"1.05"
"bang","100 Thieves",791,752,368,"1.05"
"MOLSI","OG LDN UTD (ex)",361,344,137,"1.05"
"Zyppan","FunPlus Phoenix (ex)",1510,1439,559,"1.05"
"Famouz","BOOM Esports (ex)",296,283,118,"1.05"
"Kr1stal","BLUE BEES.ESP (ex)",196,188,74,"1.04"
"Harry","Brimstone (si)",99,95,32,"1.04"
"Famouz","Persija Esports (ex)",282,271,81,"1.04"
"Hoody","G2 Esports (Inactive) (ex)",911,876,415,"1.04"
"deLb","Alter Ego",367,353,98,"1.04"
"Enzo","FNATIC (ex)",660,635,392,"1.04"
"CTC","Los Grandes (ex)",295,284,86,"1.04"
"10X","Brimstone (si)",110,106,29,"1.04"
"aproto","Ghost Gaming (ex)",224,216,101,"1.04"
"Twinte","looking for a name (ex)",28,27,13,"1.04"
"iNTRO","DAMWON Gaming (ex)",113,109,31,"1.04"
"baddyG","FunPlus Phoenix (ex)",227,219,106,"1.04"
"skuba","Knights (ex)",257,248,97,"1.04"
"KILLDREAMST","Sharks Esports (ex)",143,138,65,"1.04"
"cauanzin","Ninjas in Pyjamas (ex)",1010,975,501,"1.04"
"Suka","Fancy United Esports (ex)",91,88,48,"1.03"
"SungJin","CNJ Esports (ex)",91,88,12,"1.03"
"rion","Crazy Raccoon",213,206,74,"1.03"
"ringring","CNJ Esports",93,90,32,"1.03"
"Khalil","FURIA",734,711,309,"1.03"
"GLAB zey","NAOS Esports (ex)",32,31,4,"1.03"
"AloNeFillz","Made in Thailand",423,410,181,"1.03"
"Nivera","Team Liquid (ex)",1116,1082,335,"1.03"
"zepher","REJECT (ex)",438,425,118,"1.03"
