"Ign","Team","Kills","Deaths","Assists","Kd"
"bnj","Ninjas in Pyjamas (ex)",416,480,228,"0.87"
"Lumo","Insomnia (ex)",39,45,17,"0.87"
"sickLy","FUSION",26,30,6,"0.87"
"curry","Cloud9 (ex)",207,239,160,"0.87"
"Delta","Maru Gaming (ex)",274,317,137,"0.86"
"mNdS","MIBR (ex)",223,258,151,"0.86"
"dapr","Sentinels (ex)",544,630,227,"0.86"
"H1BER","FNATIC (si)",63,73,22,"0.86"
"david","PAMPAS (ex)",156,181,44,"0.86"
"Brave","SuperMassive (ex)",166,193,41,"0.86"
"olzerr","PAMPAS (ex)",134,156,80,"0.86"
"hazed","NRG Esports (ex)",504,587,252,"0.86"
"Jady","M3 Champions",156,182,82,"0.86"
"AlKawai","Insomnia (ex)",36,42,33,"0.86"
"Art","Sengoku Gaming (ex)",113,132,64,"0.86"
"Den2","Spear Gaming (ex)",83,97,37,"0.86"
"Purp0","Acend (si)",41,48,18,"0.85"
"vakk","Acend",310,363,126,"0.85"
"v1xen","Ninjas in Pyjamas (ex)",280,328,170,"0.85"
"prozin","Sharks Esports",128,150,70,"0.85"
"Torrify","FUSION (ex)",168,197,32,"0.85"
"axeLuvY","Alter Ego (ex)",265,311,183,"0.85"
"Machao","DetonatioN Gaming White (ex)",23,27,19,"0.85"
"Yun","Pentagon",69,81,19,"0.85"
"seven","TSM (ex)",149,175,46,"0.85"
"crws","XERXIA Esports (ex)",790,928,427,"0.85"
"d3ffo","M3 Champions (ex)",444,522,161,"0.85"
"TORANECO","Hexad (ex)",74,87,25,"0.85"
"AslaN","BIG (ex)",330,388,128,"0.85"
"Dcop","FUSION",193,227,78,"0.85"
"BandiCoot","E-Xolos LAZER",215,253,129,"0.85"
"MuuShock","Rebellion Arts",28,33,8,"0.85"
"Dhimorutoo","Reignite (ex)",93,110,60,"0.85"
"Haodong","EDward Gaming",65,77,23,"0.84"
"kvzx","NAOS Esports",75,89,45,"0.84"
"poised","Rise (ex)",160,190,63,"0.84"
"gustt1nha","Los Grandes (ex)",232,276,160,"0.84"
"vickt0r","Movistar Optix",367,437,162,"0.84"
"이토히로부비부빗","Team T5 (ex)",68,81,35,"0.84"
"SylFy","Jadeite (ex)",146,174,93,"0.84"
"AzeL","looking for a name (ex)",26,31,12,"0.84"
"Destrian","OG LDN UTD (ex)",270,322,162,"0.84"
"FuriousMeow","Oblivion Force",57,68,34,"0.84"
"BP","Veronica7",62,74,27,"0.84"
"frostmind","BOOM Esports (ex)",307,367,102,"0.84"
"RIPablo","IGZIST",189,226,128,"0.84"
"Kant","VPZ (ex)",51,61,12,"0.84"
"ExiA","Spear Gaming",285,342,148,"0.83"
"LEXY","Bleed Esports (ex)",145,174,68,"0.83"
"STYRON","Gaimin Gladiators (ex)",70,84,37,"0.83"
"Jan","Next eSports",40,48,20,"0.83"
"REV1","Pentagon",75,90,14,"0.83"
"SoGaTe","Tartarus (si)",25,30,8,"0.83"
"Rainy","Griffin E-Sports",184,221,122,"0.83"
"Bonecold","Acend (ex)",149,179,62,"0.83"
"Dreamas","Team Liquid (ex)",134,161,57,"0.83"
"Brinks","Gamelanders Blue (si)",129,155,62,"0.83"
"B4nnba","Pentagon",64,77,11,"0.83"
"Lawrence","GoNGo Prince",107,129,41,"0.83"
"Pro","South Built Esports (ex)",111,134,49,"0.83"
"myssen","Liberty",246,297,103,"0.83"
"Xander","FUSION",183,221,43,"0.83"
"dzii","Gaimin Gladiators (ex)",77,93,24,"0.83"
"Meimoo","Rebellion Arts",24,29,10,"0.83"
"tinggg2k5","CERBERUS Esports",90,109,15,"0.83"
"gio","Movistar Optix",364,441,185,"0.83"
"hatty","ややーず (ex)",33,40,14,"0.83"
"Holbreak","EBRO Gaming (ex)",136,165,66,"0.82"
"Medusa","Crest Gaming ZST (si)",14,17,2,"0.82"
"TiGG","Luminosity Gaming (ex)",446,542,262,"0.82"
"JinboongE","HolyMolly (ex)",314,382,131,"0.82"
"kobra","Crest Gaming ZST",23,28,6,"0.82"
"Suda","SETOUCHI ENLIFE (ex)",23,28,5,"0.82"
"Draxii","Rex Regum Qeon (ex)",101,123,52,"0.82"
"Shanks","Rise (ex)",160,195,44,"0.82"
"vong","FOKUS (ex)",158,193,75,"0.82"
"asteriskk","Persija Esports",202,247,169,"0.82"
"Hermes","Brimstone (ex)",85,104,36,"0.82"
"leonzhett","PAMPAS (ex)",134,164,58,"0.82"
"SungJin","Spear Gaming (ex)",271,332,172,"0.82"
"akashi","CERBERUS Esports (ex)",182,223,98,"0.82"
"killua","FW Esports",71,87,12,"0.82"
"ClarK","World Game Star (ex)",62,76,22,"0.82"
"GwangUh","Maru Gaming (ex)",295,362,177,"0.81"
"iluri","FOKUS (ex)",154,189,73,"0.81"
"ableJ","FURIA (ex)",433,532,253,"0.81"
"TORANECO","BLUE BEES.ESP (ex)",83,102,58,"0.81"
"HellFull","FUSION (ex)",48,59,5,"0.81"
"poised","FaZe Clan",475,585,289,"0.81"
"Lok1","CERBERUS Esports (ex)",177,218,84,"0.81"
"hype","OG LDN UTD (ex)",276,340,127,"0.81"
"Shuzz","SCARZ (ex)",69,85,34,"0.81"
"v1nNy","Gamelanders Blue (ex)",176,217,101,"0.81"
"Kanpeki","Sentinels (ex)",154,190,78,"0.81"
"Swee","IXA",64,79,15,"0.81"
"FNS","OpTic Gaming (ex)",1301,1606,646,"0.81"
"SEIDER","FunPlus Phoenix (si)",119,147,46,"0.81"
"SoGaTe","Team GP (ex)",68,84,39,"0.81"
"godko","Desperado (ex)",246,304,102,"0.81"
"SyouTa","Crest Gaming ZST (ex)",122,151,64,"0.81"
"kellyS","Rex Regum Qeon (ex)",113,140,44,"0.81"
"coco","Oasis Gaming",50,62,23,"0.81"
"Anna","Next eSports (ex)",25,31,4,"0.81"
"Defectio","ややーず (ex)",29,36,5,"0.81"
"Hyzee","Fancy United Esports (ex)",222,276,116,"0.80"
"eKo","Reignite (ex)",119,148,72,"0.80"
"Daicute","CERBERUS Esports (ex)",102,127,26,"0.80"
"hyouka","Reignite",110,137,51,"0.80"
"Destrian","LDN UTD (ex)",138,172,68,"0.80"
"flainzz","Stars Horizon",88,110,44,"0.80"
"侵略者","ややーず",24,30,12,"0.80"
"Hate","DAMWON Gaming (ex)",307,384,169,"0.80"
"supamen","Rise (ex)",150,188,87,"0.80"
"dazzLe","Luminosity Gaming (ex)",421,528,229,"0.80"
"AcMe","Veronica7",59,74,23,"0.80"
"Tuli","9z Team (si)",98,123,15,"0.80"
"Life","EDward Gaming (ex)",27,34,6,"0.79"
"NoriseN","REJECT (ex)",239,301,103,"0.79"
"Zerost","Sengoku Gaming",50,63,15,"0.79"
"ParkJJong","Team GP (ex)",72,91,29,"0.79"
"chase","Gamelanders Blue (ex)",317,401,166,"0.79"
"Rain","CNJ Esports",247,313,110,"0.79"
"bnj","9z Team (si)",86,109,40,"0.79"
"pdr","INGAMING Esports (ex)",122,155,53,"0.79"
"nephh","Gaimin Gladiators (ex)",70,89,36,"0.79"
"Ripper","Oasis Gaming",22,28,11,"0.79"
"Felix","HolyMolly (ex)",278,354,192,"0.79"
"dinkzj","Natus Vincere (ex)",420,535,176,"0.79"
"Majestyy","FW Esports",62,79,24,"0.78"
"SamuraiDeeper","Crest Gaming ZST (ex)",115,147,64,"0.78"
"pho","Evil Geniuses (ex)",146,187,56,"0.78"
"Eugene","DAMWON Gaming",64,82,27,"0.78"
"Kaminari","Hexad (ex)",71,91,30,"0.78"
"alyaL","CERBERUS Esports (ex)",85,109,35,"0.78"
"wyz","FUSION",173,222,73,"0.78"
"Peloncito","E-Xolos LAZER",120,154,48,"0.78"
"Brofeld","Jadeite",105,135,39,"0.78"
"KimGyuTae","Desperado (si)",14,18,3,"0.78"
"swag","Team Vikings (ex)",111,143,37,"0.78"
"Reformed","Evil Geniuses",446,575,253,"0.78"
"Junseo","Next eSports",38,49,19,"0.78"
"Delend","Made in Thailand (ex)",207,267,133,"0.78"
"raafa","Liberty (ex)",144,186,48,"0.77"
"invy","Oasis Gaming (ex)",48,62,12,"0.77"
"zombs","Sentinels (ex)",233,301,146,"0.77"
"Russ","Guild Esports (ex)",564,729,318,"0.77"
"Amaterasu","Velocity Gaming",75,97,55,"0.77"
"JhoW","Keyd Stars (ex)",282,365,154,"0.77"
"NeruFi","Crest Gaming ZST",112,145,42,"0.77"
"RHZ","Keyd Stars (ex)",338,438,193,"0.77"
"KuuKai","Crest Gaming ZST (ex)",97,126,35,"0.77"
"luckeRRR","BIG (ex)",143,186,76,"0.77"
"luckeRRR","BIG (ex)",143,186,76,"0.77"
"roseaufy","Persija Esports",196,255,90,"0.77"
"Rossy","TSM (ex)",122,159,62,"0.77"
"Obnoks","BIG (ex)",316,414,115,"0.76"
"nAts","Gambit Esports (ex)",61,80,31,"0.76"
"ANGE1","FunPlus Phoenix (ex)",1023,1342,464,"0.76"
"Glovee","SuperMassive (ex)",134,177,58,"0.76"
"jfoen","E-Xolos LAZER",196,259,143,"0.76"
"GODLIKE","World Game Star (ex)",633,837,316,"0.76"
"nobody","EDward Gaming",62,82,20,"0.76"
"DaeGi","Team GP (ex)",71,94,13,"0.76"
"Dispenser","Team Secret",206,273,88,"0.75"
"Marmelo","Jadeite",43,57,15,"0.75"
"ParkJJong","Tartarus (ex)",149,198,77,"0.75"
"Lore","Focus e-Sports (ex)",24,32,7,"0.75"
"NoriseN","Crest Gaming ZST (si)",12,16,4,"0.75"
"YaBoiLewis","FOKUS",161,215,64,"0.75"
"shroud","Sentinels",110,147,80,"0.75"
"badsitoww","Meta Gaming (ex)",126,169,56,"0.75"
"shelbyN","EBRO Gaming (ex)",125,168,64,"0.74"
"2KY","SchwarzerLand",23,31,2,"0.74"
"Danielesflo","FUSION (ex)",43,58,27,"0.74"
"Tempz","No Namers (ex)",60,81,30,"0.74"
"poem","IGZIST",190,257,103,"0.74"
"Akame","Jadeite",99,134,61,"0.74"
"hypathor","Oblivion Force",48,65,17,"0.74"
"Keria","Spear Gaming",328,446,215,"0.74"
"Misaya","Sengoku Gaming",111,151,53,"0.74"
"Blas","NAOS Esports",47,64,25,"0.73"
"Fantasy","Team T5",185,252,88,"0.73"
"pouoxo","TRIDENT (ex)",22,30,11,"0.73"
"shura","Focus e-Sports",22,30,8,"0.73"
"sakurai","Crest Gaming ZST (ex)",22,30,5,"0.73"
"NeruFi","REJECT (si)",11,15,5,"0.73"
"KimGyuTae","Desperado",184,252,45,"0.73"
"rochet","SunXet Club (ex)",137,189,50,"0.72"
"TAMAGO","AWS (ex)",21,29,2,"0.72"
"TiGG","Shopify Rebellion (ex)",57,79,43,"0.72"
"pippi","Rebellion Arts",23,32,9,"0.72"
"Valll","Focus e-Sports (ex)",25,35,2,"0.71"
"dazzLe","Shopify Rebellion",57,80,28,"0.71"
"CHIMEI","Oblivion Force",51,72,32,"0.71"
"NANZIN","Stars Horizon",80,113,48,"0.71"
"mada","Shopify Rebellion",63,89,27,"0.71"
"redwater877","Team T5",246,348,104,"0.71"
"skyeSG","No Namers (ex)",53,75,35,"0.71"
"RoaN","SunXet Club (ex)",132,187,74,"0.71"
"PADO","Veronica7 (ex)",50,71,26,"0.70"
"K1LLERS","Fancy United Esports (ex)",45,64,22,"0.70"
"Alex","Next eSports (ex)",47,67,18,"0.70"
"Wild0reoo","Oasis Gaming",47,67,14,"0.70"
"Sk9Na","Team GP (ex)",68,97,29,"0.70"
"WKN","Meta Gaming (ex)",110,157,71,"0.70"
"HellrangeR","Global Esports",51,73,30,"0.70"
"jotinha","SunXet Club (ex)",127,182,50,"0.70"
"pAura","BBL Esports (ex)",247,355,99,"0.70"
"柳ヶ瀬鈴乃","IXA (ex)",56,81,15,"0.69"
"PEPA","Team Vikings (ex)",94,136,43,"0.69"
"Frosty","Knights (ex)",179,259,57,"0.69"
"Leazo","9z Team",29,42,14,"0.69"
"Mited","FUSION",156,226,92,"0.69"
"Poach","FaZe Clan (ex)",20,29,8,"0.69"
"Kaspe","BIG (ex)",137,199,79,"0.69"
"Purp0","M3 Champions (ex)",11,16,3,"0.69"
"wait","KRÜ Esports (si)",11,16,1,"0.69"
"Gunny","GoNGo Prince",59,86,27,"0.69"
"Unnsto","EBRO Gaming (ex)",112,164,85,"0.68"
"Lily","EVA:e",36,53,24,"0.68"
"Dani","Sentinels (si)",21,31,10,"0.68"
"B1ngSu","Veronica7",50,74,15,"0.68"
"SoGaTe","Tartarus (ex)",138,205,94,"0.67"
"Wonjina","Next eSports",41,61,21,"0.67"
"Yacine","Guild Esports",86,128,41,"0.67"
"CyderX","SuperMassive (ex)",116,173,65,"0.67"
"kiles","Acend (ex)",130,194,69,"0.67"
"SeolHo","Spear Gaming (ex)",69,103,35,"0.67"
"RHZ","Keyd Stars (si)",60,90,34,"0.67"
"Ran","SETOUCHI ENLIFE (ex)",18,27,7,"0.67"
"Ludens","K2 eSports (ex)",22,33,7,"0.67"
"ec1s","100 Thieves (ex)",50,76,35,"0.66"
"H1K","SchwarzerLand",19,29,6,"0.66"
"Citrus7","SchwarzerLand",19,29,6,"0.66"
"DOGAO","Movistar Optix",136,209,52,"0.65"
"reooooo","Rebellion Arts",22,34,6,"0.65"
"DippER","VPZ (ex)",39,61,19,"0.64"
"pollo","Team Vikings (ex)",91,144,29,"0.63"
"JREXXX","Insomnia (ex)",29,46,10,"0.63"
"Rawkus","Sentinels (ex)",62,99,44,"0.63"
"Paint","Insomnia (ex)",30,48,10,"0.63"
"Biju","IXA (ex)",51,82,26,"0.62"
"Skyfull","DeToNator (ex)",35,57,25,"0.61"
"pdr","Stars Horizon (ex)",75,123,26,"0.61"
"Flash","Rex Regum Qeon",14,23,7,"0.61"
"Sacchi","SchwarzerLand",17,28,8,"0.61"
"Dszera","Team Vikings (ex)",80,132,44,"0.61"
"Creative","GoNGo Prince",23,38,10,"0.61"
"Melofovia","DetonatioN Gaming White (ex)",24,40,9,"0.60"
"Haxball","VPZ",37,62,20,"0.60"
"wait","KRÜ Esports (ex)",19,32,12,"0.59"
"UmiNtyU","Mariner",19,32,8,"0.59"
"silver","K2 eSports (ex)",19,32,7,"0.59"
"GwangUh","Tartarus (ex)",125,211,81,"0.59"
"DxN","No Namers (ex)",46,78,14,"0.59"
"moco","TRIDENT (ex)",19,33,13,"0.58"
"Namikaze","SETOUCHI ENLIFE (ex)",16,28,0,"0.57"
"Veroneze","Team Vikings (ex)",81,142,31,"0.57"
"Num","AWS (ex)",17,30,4,"0.57"
"DaeGi","Tartarus (si)",19,34,6,"0.56"
"Myself","AWS",15,27,4,"0.56"
"sachi","Rebellion Arts (ex)",16,29,4,"0.55"
"KadosuK","GyoGun (ex)",17,31,6,"0.55"
"oikou","GyoGun (ex)",18,33,7,"0.55"
"Marky","Oasis Gaming",37,68,13,"0.54"
"KappA","Global Esports",45,83,41,"0.54"
"Puupop","Mariner",16,30,3,"0.53"
"Nikumanyaro","SYSTEM e-Sports (ex)",14,27,4,"0.52"
"Toto","GyoGun",15,29,9,"0.52"
"大西大和","SETOUCHI ENLIFE (ex)",15,29,7,"0.52"
"RELAXING","TRIDENT (ex)",16,31,19,"0.52"
"Haner","K2 eSports (ex)",16,31,10,"0.52"
"Shiroe","Mariner",16,31,9,"0.52"
"Solution","FUSION (ex)",32,64,18,"0.50"
"munghoon","VPZ",33,66,16,"0.50"
"kurtesy","Oasis Gaming",17,34,7,"0.50"
"ZONBee","GyoGun",14,28,6,"0.50"
"GwangUh","Tartarus (si)",17,36,12,"0.47"
"Ask","Reignite",16,34,15,"0.47"
"YAYA","ややーず",16,34,12,"0.47"
"CyderX","BBL Esports (si)",28,60,29,"0.47"
"AztKk","FUSION (ex)",28,62,30,"0.45"
"Pa1n","Focus e-Sports",14,31,3,"0.45"
"Maru","Mariner",13,29,8,"0.45"
"azuma","K2 eSports (ex)",15,35,9,"0.43"
"Suke","SYSTEM e-Sports",12,28,8,"0.43"
"hiyokomaru","SYSTEM e-Sports",11,27,3,"0.41"
"40pingSterry","SETOUCHI ENLIFE",11,28,12,"0.39"
"Gabriel","AWS",11,28,7,"0.39"
"Zan","Focus e-Sports",12,32,3,"0.38"
"KAMEReon","AWS (ex)",11,31,5,"0.35"
"Leo","SYSTEM e-Sports",9,27,2,"0.33"
"Siro","looking for a name (ex)",11,35,9,"0.31"
"P4F","SchwarzerLand",7,31,10,"0.23"
"fiN","SYSTEM e-Sports",6,28,1,"0.21"
