"Ign","Team","Headshot %","Bodyshot %","Legshot %","Matches"
"poised","Rise (ex)","22.18","72.50","5.30",12
"Duno","Natus Vincere (ex)","22.16","68.85","8.98",35
"Retla","Bleed Esports (ex)","22.10","70.58","7.30",10
"RoaN","SunXet Club (ex)","22.10","67.13","10.75",11
"NeruFi","Crest Gaming ZST","22.07","72.72","5.19",9
"keznit","KRÜ Esports (ex)","22.07","71.42","6.50",70
"FifTy","DeToNator","22.06","72.41","5.51",3
"Tempz","No Namers (ex)","22.05","68.62","9.31",5
"sushiboys","XERXIA Esports (ex)","22.04","72.02","5.92",61
"keloqz","G2 Esports (Inactive) (ex)","21.98","72.25","5.75",5
"Starxo","Acend","21.98","70.49","7.51",37
"zepher","REJECT (ex)","21.95","72.13","5.91",31
"Bazzi","On Sla2ers (si)","21.95","70.73","7.31",6
"penny","Version1 (Inactive) (ex)","21.94","71.79","6.25",21
"AzeL","looking for a name (ex)","21.91","67.12","10.95",2
"MAGNUM","FNATIC (ex)","21.90","71.51","6.57",24
"Ask","Reignite","21.87","68.75","9.37",2
"LucasVade","Meta Gaming (ex)","21.81","70.50","7.67",10
"mnz","IXA","21.80","74.40","3.79",5
"cauanzin","Ninjas in Pyjamas (ex)","21.77","70.27","7.95",66
"artzin","Stars Horizon (ex)","21.76","73.83","4.40",8
"zekken","XSET (ex)","21.74","70.38","7.87",66
"koldamenta","Guild Esports","21.72","70.35","7.92",54
"STYRON","Gaimin Gladiators (ex)","21.70","71.91","6.38",6
"Meiy","Crazy Raccoon","21.66","70.20","8.13",40
"Kaspe","BIG (ex)","21.65","71.85","6.49",13
"matheuzin","TBK Esports","21.65","71.32","7.01",38
"Witz","Team Secret (ex)","21.62","72.77","5.60",24
"kurozooted","Reignite","21.59","70.81","7.58",10
"GodDead","On Sla2ers","21.56","70.53","7.89",49
"Ssun","Spear Gaming (ex)","21.54","73.65","4.80",30
"jawgemo","Evil Geniuses","21.54","71.49","6.96",35
"tinggg2k5","CERBERUS Esports","21.52","75.49","2.98",7
"Ethan","100 Thieves (ex)","21.51","72.08","6.40",13
"Daicute","CERBERUS Esports (ex)","21.51","71.51","6.96",8
"BandiCoot","E-Xolos LAZER","21.48","72.54","5.96",16
"mixwell","G2 Esports (Inactive) (ex)","21.46","72.35","6.18",52
"Jeong Hi","Maru Gaming (ex)","21.44","69.26","9.28",32
"Nikumanyaro","SYSTEM e-Sports (ex)","21.42","76.19","2.38",2
"ardiis","FunPlus Phoenix (ex)","21.39","72.07","6.52",89
"柳ヶ瀬鈴乃","IXA (ex)","21.39","71.61","6.98",5
"gustt1nha","Los Grandes (ex)","21.38","67.70","10.91",19
"Leazo","9z Team","21.35","76.69","1.94",2
"akashi","CERBERUS Esports (ex)","21.34","71.26","7.38",15
"Citrus7","SchwarzerLand","21.33","73.33","5.33",2
"BORKUM","Team Secret","21.31","69.78","8.90",27
"BerserX","BOOM Esports","21.30","72.21","6.47",45
"seven","TSM (ex)","21.29","74.03","4.66",10
"Nozwerr","FURIA (ex)","21.27","71.93","6.79",49
"Reformed","Evil Geniuses","21.27","69.53","9.18",35
"Benecia","CNJ Esports","21.25","71.25","7.49",24
"stellar","100 Thieves","21.20","70.79","8.00",42
"Felix","HolyMolly (ex)","21.19","72.91","5.88",26
"Rawkus","Sentinels (ex)","21.17","72.52","6.30",6
"ableJ","FURIA (ex)","21.17","70.27","8.55",34
"Chibab","Maru Gaming","21.16","70.79","8.03",58
"Draxii","Rex Regum Qeon (ex)","21.15","74.78","4.05",8
"Klaus","KRÜ Esports","21.09","72.95","5.94",73
"Solution","FUSION (ex)","21.09","71.09","7.81",4
"Wavy","CNJ Esports","21.09","68.78","10.11",24
"Gunny","GoNGo Prince","21.07","68.60","10.31",5
"micr0","South Built Esports (ex)","21.05","73.68","5.26",4
"trexx","Guild Esports","21.01","69.86","9.12",54
"Melofovia","DetonatioN Gaming White (ex)","21.01","66.66","12.31",3
"dinkzj","Natus Vincere (ex)","20.99","73.83","5.16",35
"Dani","Sentinels (si)","20.96","67.74","11.29",2
"glym","Liberty (ex)","20.92","71.75","7.32",9
"wippie","Version1 (Inactive) (ex)","20.91","74.26","4.81",21
"Rain","CNJ Esports","20.89","70.67","8.42",18
"rochet","SunXet Club (ex)","20.88","72.66","6.44",11
"mada","Luminosity Gaming (ex)","20.86","71.94","7.19",33
"SungJin","CNJ Esports (ex)","20.77","70.77","8.45",6
"Saadhak","LOUD","20.66","68.68","10.65",67
"poised","FaZe Clan","20.60","71.03","8.36",37
"liazzi","Liberty","20.56","73.57","5.85",20
"lenne","Bleed Esports (ex)","20.56","68.17","11.26",37
"FNS","OpTic Gaming (ex)","20.48","71.83","7.67",111
"Asuna","100 Thieves","20.46","73.19","6.34",55
"Zan","Focus e-Sports","20.45","72.72","6.81",2
"Pay","Veronica7 (ex)","20.45","69.69","9.84",5
"Wonjina","Next eSports","20.39","67.10","12.50",4
"Minimise","Bonkers(OCE) (ex)","20.37","74.94","4.68",8
"rDeeW","Bonkers(OCE) (ex)","20.27","72.72","6.99",8
"HellFull","FUSION (ex)","20.25","70.88","8.86",4
"dazzLe","Luminosity Gaming (ex)","20.25","70.01","9.72",33
"Xander","FUSION","20.24","72.74","7.01",14
"xeta","Cloud9 (ex)","20.24","69.63","10.12",28
"Has1ra14","Maru Gaming (ex)","20.19","75.36","4.43",4
"Deryeon","Bleed Esports (ex)","20.17","73.00","6.81",37
"Haxball","VPZ","20.13","74.49","5.36",4
"JREXXX","Insomnia (ex)","20.13","66.66","13.19",3
"Biju","IXA (ex)","20.10","73.86","6.03",5
"dzii","Gaimin Gladiators (ex)","20.07","70.47","9.44",6
"Dispenser","Team Secret","20.02","72.84","7.13",20
"Machao","DetonatioN Gaming White (ex)","20.00","72.30","7.69",2
"Secret","Desperado (ex)","19.94","71.80","8.25",21
"nukkye","G2 Esports (Inactive) (ex)","19.92","74.33","5.73",57
"jfoen","E-Xolos LAZER","19.88","72.53","7.58",16
"Delta","Maru Gaming (ex)","19.88","69.13","10.98",22
"KappA","Global Esports","19.88","67.95","12.15",5
"Ripper","Oasis Gaming","19.80","75.24","4.95",2
"RgLMeister","Keyd Stars (si)","19.77","77.18","3.04",6
"AloNeFillz","Made in Thailand","19.77","70.57","9.65",28
"Tio","Movistar Optix","19.76","71.14","9.08",27
"Felix","Brimstone (si)","19.75","72.94","7.29",7
"allow","Jadeite (ex)","19.73","75.65","4.60",12
"effys","Version1 (Inactive) (ex)","19.63","72.57","7.79",21
"Jinggg","Paper Rex","19.62","75.18","5.19",61
"40pingSterry","SETOUCHI ENLIFE","19.56","69.56","10.86",2
"SUTHER","9z Team (ex)","19.47","74.83","5.69",32
"TENSAI","FENNEL (ex)","19.46","71.97","8.55",7
"Dcop","FUSION","19.44","71.25","9.30",14
"silver","K2 eSports (ex)","19.41","74.75","5.82",2
"H1BER","FNATIC (si)","19.35","75.57","5.06",4
"gaabxx","Sharks Esports (ex)","19.33","70.99","9.66",9
"FuriousMeow","Oblivion Force","19.31","76.13","4.54",4
"zeek","Acend (ex)","19.30","70.57","10.12",28
"roseaufy","Persija Esports","19.27","72.66","8.05",16
"bdog","Shopify Rebellion","19.21","72.92","7.86",4
"SID","VPZ","19.08","70.12","10.78",4
"P4F","SchwarzerLand","19.04","76.19","4.76",2
"Learica","TRIDENT (ex)","18.96","72.41","8.62",2
"dapr","Sentinels (ex)","18.93","74.10","6.96",38
"bnj","9z Team (si)","18.93","73.07","7.98",7
"GodDead","On Sla2ers (si)","18.93","69.10","11.96",6
"Unnsto","EBRO Gaming (ex)","18.91","75.38","5.69",11
"DaeGi","Tartarus (si)","18.91","74.32","6.75",2
"mittiii","FENNEL (ex)","18.89","74.70","6.39",7
"Boaster","FNATIC","18.89","69.01","12.09",69
"DxN","No Namers (ex)","18.88","76.11","5.00",5
"Siro","looking for a name (ex)","18.86","73.58","7.54",2
"BcJ","XSET (ex)","18.75","69.99","11.25",66
"Pepper","IGZIST (ex)","18.66","74.23","7.10",19
"Shiroe","Mariner","18.64","62.71","18.64",2
"rite2ace","Velocity Gaming (ex)","18.61","75.18","6.20",6
"dazzLe","Shopify Rebellion","18.61","73.59","7.79",4
"Marky","Oasis Gaming","18.60","76.16","5.23",4
"Anguuuuu","Storks Phalanx (ex)","18.60","71.16","10.23",4
"Famouz","Persija Esports (ex)","18.51","75.68","5.79",16
"moco","TRIDENT (ex)","18.51","75.30","6.17",2
"wait","KRÜ Esports (ex)","18.51","72.83","8.64",2
"d3ffo","Gambit Esports (ex)","18.51","72.59","8.88",5
"Lily","EVA:e","18.47","75.79","5.73",3
"Hermes","Brimstone (ex)","18.45","75.27","6.27",7
"Phantom","FAV gaming","18.42","75.15","6.41",23
"AYRIN","XSET (ex)","18.38","73.52","8.09",66
"cuda","GyoGun (ex)","18.36","72.44","9.18",2
"PTC","FULL SENSE (ex)","18.27","74.37","7.34",11
"SEVERiNE","Onic Esports (ex)","18.26","71.66","10.06",38
"JUGi","FOKUS","18.25","75.71","6.03",12
"DOGAO","Movistar Optix","18.24","75.12","6.63",13
"Maple","ORDER (ex)","18.20","71.70","10.08",16
"MerRy","Storks Phalanx (ex)","18.09","76.88","5.02",4
"Ijin","Storks Phalanx (ex)","18.09","74.28","7.61",4
"yoman","Next eSports (ex)","18.07","76.27","5.64",4
"Suda","SETOUCHI ENLIFE (ex)","18.07","74.69","7.22",2
"mitch","Cloud9 (ex)","18.05","75.83","6.10",47
"Will","100 Thieves (ex)","17.93","77.05","5.00",42
"Famouz","BOOM Esports (ex)","17.87","75.74","6.37",18
"CTC","Los Grandes (ex)","17.78","76.26","5.95",19
"Zellsis","Version1 (Inactive) (ex)","17.70","69.83","12.45",21
"Misaya","Sengoku Gaming","17.69","73.00","9.29",11
"BABYBAY","FaZe Clan","17.61","75.30","7.08",37
