"Ign","Team","Headshots"
"Maru","Mariner","17"
"kobra","REJECT (si)","17"
"Yso","TRIDENT (ex)","17"
"Num","AWS (ex)","17"
"Muj","BBL Esports (ex)","17"
"KadosuK","GyoGun (ex)","17"
"oikou","GyoGun (ex)","16"
"侵略者","ややーず","16"
"AzeL","looking for a name (ex)","16"
"Citrus7","SchwarzerLand","16"
"moco","TRIDENT (ex)","15"
"wait","KRÜ Esports (ex)","15"
"TAMAGO","AWS (ex)","15"
"Myself","AWS","15"
"大西大和","SETOUCHI ENLIFE (ex)","15"
"Suda","SETOUCHI ENLIFE (ex)","15"
"KAMEReon","AWS (ex)","15"
"SamuraiDeeper","REJECT (si)","15"
"DaeGi","Tartarus (si)","14"
"sakurai","REJECT (si)","14"
"ZONBee","GyoGun","14"
"Ask","Reignite","14"
"Pa1n","Focus e-Sports","13"
"Medusa","Crest Gaming ZST (si)","13"
"Dani","Sentinels (si)","13"
"Suke","SYSTEM e-Sports","13"
"azuma","K2 eSports (ex)","13"
"Machao","DetonatioN Gaming White (ex)","13"
"Lore","Focus e-Sports (ex)","12"
"Toto","GyoGun","12"
"SyouTa","REJECT (si)","12"
"kurtesy","Oasis Gaming","12"
"hiyokomaru","SYSTEM e-Sports","12"
"Ran","SETOUCHI ENLIFE (ex)","11"
"Shiroe","Mariner","11"
"YAYA","ややーず","11"
"Haner","K2 eSports (ex)","11"
"Siro","looking for a name (ex)","10"
"Gabriel","AWS","10"
"Flash","Rex Regum Qeon","10"
"Namikaze","SETOUCHI ENLIFE (ex)","10"
"Leo","SYSTEM e-Sports","10"
"40pingSterry","SETOUCHI ENLIFE","9"
"Zan","Focus e-Sports","9"
"sachi","Rebellion Arts (ex)","9"
"Puupop","Mariner","9"
"NoriseN","Crest Gaming ZST (si)","9"
"Nikumanyaro","SYSTEM e-Sports (ex)","9"
"fiN","SYSTEM e-Sports","8"
"NeruFi","REJECT (si)","8"
"KimGyuTae","Desperado (si)","8"
"Purp0","M3 Champions (ex)","7"
"zepher","Crest Gaming ZST (si)","7"
"P4F","SchwarzerLand","4"
"wait","KRÜ Esports (si)","2"
