"Ign","Team","Plants"
"SicK","Sentinels (ex)","42"
"SugarZ3ro","ZETA DIVISION","42"
"mwzera","Keyd Stars (ex)","41"
"Zellsis","Version1 (Inactive) (ex)","41"
"zeddy","Natus Vincere (ex)","41"
"SungJin","Spear Gaming (ex)","41"
"flippy","South Built Esports (ex)","40"
"mixwell","G2 Esports (Inactive) (ex)","40"
"10X","HolyMolly (ex)","40"
"Xdll","BLUE BEES.ESP (ex)","39"
"RIPablo","IGZIST","39"
"AloNeFillz","Made in Thailand","39"
"Shyy","Leviatán","39"
"Kongared","Made in Thailand","39"
"Fross","SunXet Club","39"
"Moves","Team T5 (ex)","38"
"Secret","Desperado (ex)","38"
"Misaya","Sengoku Gaming","38"
"k1Ng","On Sla2ers (ex)","38"
"shion","Liberty (ex)","38"
"b3ta","Made in Thailand","38"
"luckeRRR","BIG (ex)","38"
"Derke","FNATIC","38"
"luckeRRR","BIG (ex)","38"
"Starxo","Acend","38"
"iluri","FOKUS (ex)","37"
"jfoen","E-Xolos LAZER","37"
"Meiy","Crazy Raccoon","37"
"Sayf","Guild Esports (ex)","36"
"nAts","M3 Champions (ex)","36"
"brawk","Ghost Gaming (ex)","36"
"mazin","FURIA","35"
"Phantom","FAV gaming","35"
"s0m","NRG Esports","35"
"NagZ","KRÜ Esports","35"
"Rainy","Griffin E-Sports","35"
"Alfajer","FNATIC","34"
"RgLMeister","INGAMING Esports (ex)","34"
"wannafly","Made in Thailand","34"
"Fuzari","Gamelanders Blue (ex)","34"
"Destrian","OG LDN UTD (ex)","34"
"Brave","SuperMassive (ex)","33"
"Jonn","Ninjas in Pyjamas (ex)","33"
"WKN","Meta Gaming (ex)","33"
"pr0xy","Spear Gaming (ex)","33"
"Reita","REJECT (ex)","33"
"Quick","FURIA","32"
"takej","REJECT (ex)","32"
"Laz","ZETA DIVISION","32"
"vickt0r","Movistar Optix","32"
"jawgemo","Evil Geniuses","32"
"Johnqt","Ghost Gaming (ex)","31"
"MAGNUM","FNATIC (ex)","31"
"PTC","FULL SENSE (ex)","31"
"Cryocells","XSET (ex)","31"
"gob b","BIG (ex)","31"
"Mited","FUSION","31"
"HANLING","9z Team (ex)","30"
"d3ffo","M3 Champions (ex)","30"
"v1xen","Ninjas in Pyjamas (si)","30"
"Hyzee","Fancy United Esports (ex)","30"
"ParkJJong","Tartarus (ex)","30"
"maxie","Bleed Esports (ex)","30"
"Obnoks","BIG (ex)","30"
"BORKUM","Team Secret","30"
"Bonecold","Acend (ex)","30"
"Bazzi","On Sla2ers (ex)","30"
"SyouTa","Crest Gaming ZST (ex)","30"
"Bangnan","DAMWON Gaming (ex)","29"
"Maple","ORDER (ex)","29"
"JinboongE","HolyMolly (ex)","29"
"Genghsta","Knights (ex)","29"
"BandiCoot","E-Xolos LAZER","29"
"Ethan","100 Thieves (ex)","29"
"Apoth","Evil Geniuses","29"
"eeiu","NRG Esports (ex)","29"
"godko","Desperado (ex)","28"
"Surf","XERXIA Esports (ex)","28"
"keznit","KRÜ Esports (ex)","28"
"skuba","Knights (ex)","27"
"Kanpeki","Sentinels (ex)","27"
"Destrian","LDN UTD (ex)","27"
"Mizu","9z Team","26"
"gustt1nha","Los Grandes (ex)","26"
"Zander","Version1 (Inactive) (ex)","26"
"Frosty","Knights (ex)","26"
"Dispenser","Team Secret","26"
"olzerr","PAMPAS (ex)","26"
"GOLD","Desperado (ex)","26"
"Fantasy","Team T5","25"
"ExiA","Spear Gaming","25"
"iNTRO","DAMWON Gaming (si)","25"
"redwater877","Team T5","25"
"aspas","LOUD","25"
"Majestyy","FW Esports","25"
"zepher","REJECT (ex)","25"
"Eliza","GoNGo Prince (ex)","25"
"SEVERiNE","Onic Esports (ex)","25"
"XXiF","Knights (ex)","25"
"curry","Cloud9 (ex)","25"
"DeNaro","MIBR (ex)","25"
"Maverick","Stars Horizon (ex)","24"
"MONSTEERR","Acend (ex)","24"
"vaiZ","Leviatán (ex)","24"
"Anker","Jadeite (ex)","24"
"shroud","Sentinels","24"
"Medusa","REJECT (ex)","24"
"NiSMO","Ghost Gaming (ex)","24"
"Kr1stal","BLUE BEES.ESP (ex)","24"
"TENSAI","FENNEL (ex)","24"
"noxxy","Alter Ego (si)","24"
"vow","Team T5 (ex)","23"
"TenZ","Sentinels","23"
"zennakukinn","BLUE BEES.ESP (ex)","23"
"Witz","Team Secret (ex)","23"
"supamen","Rise (ex)","23"
"L1NK","Acend (ex)","23"
"Harry","HolyMolly","22"
"Retla","Bleed Esports (ex)","22"
"Kishi","CERBERUS Esports (ex)","22"
"Dcop","FUSION","22"
"bazz","FAV gaming","22"
"vong","FOKUS (ex)","22"
"Holbreak","EBRO Gaming (ex)","22"
"Derrek","Rise (ex)","22"
"Boostio","Evil Geniuses","21"
"T3xture","DAMWON Gaming (ex)","21"
"bdog","Luminosity Gaming (ex)","21"
"Lmemore","Onic Esports (ex)","21"
"pyth","Bleed Esports (ex)","21"
"YESicaN","Fancy United Esports","21"
"Addicted","Sharks Esports (ex)","21"
"dazzLe","Shopify Rebellion","21"
"W1nner","Griffin E-Sports","21"
"gtnziN","MIBR (ex)","21"
"AslaN","BIG (ex)","21"
"Minimise","Bonkers(OCE) (ex)","21"
"mada","Luminosity Gaming (ex)","21"
"MerRy","Storks Phalanx (ex)","20"
"RyZzi","Desperado (ex)","20"
"HaReeee","REJECT (ex)","20"
"ChAlalala","FULL SENSE (ex)","20"
"glym","Liberty (ex)","20"
"RgLMeister","Keyd Stars (si)","20"
