"Team","Map","Wins","Losses","Atk Round Wins","Atk Round Losses","Atk Round Win Percentage","Def Round Wins","Def Round Losses","Def Round Win Percentage"
"TBK Esports","Split",2,2,25,23,"52.00",18,20,"47.00"
"Leviatán","Fracture",2,2,14,16,"47.00",28,21,"57.00"
"Maru Gaming","Ascent",5,5,47,52,"47.00",47,51,"48.00"
"SuperMassive","Haven",1,1,14,10,"58.00",9,13,"41.00"
"NRG Esports","Fracture",2,2,22,19,"54.00",20,24,"45.00"
"TBK Esports","Fracture",2,2,19,24,"44.00",26,16,"62.00"
"NORTHEPTION","Breeze",1,1,13,11,"54.00",11,8,"58.00"
"Acend","Ascent",3,3,37,31,"54.00",23,37,"38.00"
"Hexad","Ascent",1,1,8,7,"53.00",11,8,"58.00"
"Velocity Gaming","Ascent",1,1,9,14,"39.00",15,9,"63.00"
"Team Secret","Ascent",3,3,31,31,"50.00",30,30,"50.00"
"Rex Regum Qeon","Haven",1,1,9,8,"53.00",8,14,"36.00"
"Made in Thailand","Fracture",2,2,26,16,"62.00",21,25,"46.00"
"Leviatán","Bind",5,5,55,55,"50.00",67,47,"59.00"
"FNATIC","Breeze",1,1,13,9,"59.00",9,11,"45.00"
"Bonkers(OCE)","Bind",1,1,11,17,"39.00",8,11,"42.00"
"Ghost Gaming","Fracture",1,1,12,12,"50.00",10,9,"53.00"
"Gambit Esports","Icebox",1,1,13,12,"52.00",12,11,"52.00"
"BOOM Esports","Ascent",3,3,20,38,"34.00",36,26,"58.00"
"LDN UTD","Haven",2,2,27,20,"57.00",16,20,"44.00"
"Movistar Optix","Fracture",1,1,9,12,"43.00",6,9,"40.00"
"Jadeite","Bind",1,1,14,10,"58.00",6,14,"30.00"
"Ninjas in Pyjamas","Ascent",6,6,67,70,"49.00",67,58,"54.00"
"FaZe Clan","Ascent",3,3,33,45,"42.00",27,28,"49.00"
"FULL SENSE","Breeze",1,1,12,9,"57.00",10,12,"45.00"
"Gamelanders Blue","Ascent",2,2,22,14,"61.00",21,28,"43.00"
"Liberty","Icebox",1,1,15,5,"75.00",9,15,"38.00"
"NORTHEPTION","Fracture",3,3,40,24,"63.00",24,30,"44.00"
"Evil Geniuses","Bind",3,3,28,23,"55.00",26,29,"47.00"
"Sharks Esports","Breeze",1,1,12,11,"52.00",10,12,"45.00"
"Leviatán","Breeze",5,5,60,45,"57.00",50,50,"50.00"
"Rise","Ascent",1,1,7,13,"35.00",15,9,"63.00"
"South Built Esports","Ascent",2,2,15,32,"32.00",26,15,"63.00"
"M3 Champions","Ascent",4,4,38,40,"49.00",49,35,"58.00"
"Persija Esports","Bind",2,2,23,20,"53.00",29,20,"59.00"
"Gamelanders Blue","Breeze",1,1,18,6,"75.00",6,13,"32.00"
"Luminosity Gaming","Icebox",2,2,22,15,"59.00",17,32,"35.00"
"HolyMolly","Haven",3,3,25,34,"42.00",32,24,"57.00"
"FOKUS","Bind",1,1,9,4,"69.00",8,16,"33.00"
"CERBERUS Esports","Breeze",1,1,8,10,"44.00",10,14,"42.00"
"NORTHEPTION","Haven",5,5,48,59,"45.00",45,45,"50.00"
"No Namers","Ascent",1,1,7,14,"33.00",14,7,"67.00"
"Team T5","Breeze",2,2,22,25,"47.00",17,24,"41.00"
"Jadeite","Ascent",1,1,13,11,"54.00",10,9,"53.00"
"Alter Ego","Haven",2,2,16,30,"35.00",31,20,"61.00"
"Tartarus","Fracture",2,2,13,15,"46.00",23,20,"53.00"
"Leviatán","Split",4,4,44,39,"53.00",44,35,"56.00"
"CERBERUS Esports","Haven",2,2,20,16,"56.00",23,20,"53.00"
"Team Secret","Icebox",3,3,22,25,"47.00",42,30,"58.00"
"M3 Champions","Fracture",4,4,43,45,"49.00",42,39,"52.00"
"OpTic Gaming","Breeze",5,5,52,61,"46.00",61,45,"58.00"
"Keyd Stars","Split",3,3,21,31,"40.00",37,30,"55.00"
"FENNEL","Fracture",1,1,5,12,"29.00",12,10,"55.00"
"Sengoku Gaming","Icebox",2,2,12,10,"55.00",26,22,"54.00"
"BOOM Esports","Split",2,2,19,29,"40.00",18,14,"56.00"
"GoNGo Prince","Haven",1,1,14,11,"56.00",7,14,"33.00"
"Gaimin Gladiators","Haven",1,1,8,11,"42.00",9,8,"53.00"
"OG LDN UTD","Fracture",1,1,14,14,"50.00",14,14,"50.00"
"Cloud9","Breeze",3,3,37,34,"52.00",28,25,"53.00"
"The Guard","Breeze",1,1,10,7,"59.00",16,10,"62.00"
"IGZIST","Haven",2,2,12,11,"52.00",26,21,"55.00"
"LDN UTD","Breeze",1,1,5,2,"71.00",9,15,"38.00"
"OG LDN UTD","Ascent",2,2,22,18,"55.00",23,23,"50.00"
"Hexad","Icebox",1,1,11,17,"39.00",8,11,"42.00"
"XSET","Haven",5,5,60,55,"52.00",46,54,"46.00"
"DAMWON Gaming","Bind",6,6,75,55,"58.00",49,69,"42.00"
"Griffin E-Sports","Breeze",2,2,18,16,"53.00",26,20,"57.00"
"XSET","Ascent",5,5,36,67,"35.00",78,38,"67.00"
"KRÜ Esports","Ascent",7,7,61,85,"42.00",86,65,"57.00"
"NRG Esports","Ascent",2,2,23,21,"52.00",22,23,"49.00"
"FNATIC","Fracture",4,4,39,48,"45.00",46,39,"54.00"
"BLUE BEES.ESP","Ascent",1,1,10,13,"43.00",13,6,"68.00"
"ORDER","Fracture",1,1,4,8,"33.00",13,11,"54.00"
"Guild Esports","Split",3,3,29,39,"43.00",33,28,"54.00"
"Los Grandes","Ascent",1,1,9,7,"56.00",7,15,"32.00"
"Cloud9","Fracture",4,4,46,46,"50.00",45,42,"52.00"
"ORDER","Breeze",2,2,23,20,"53.00",20,18,"53.00"
"BBL Esports","Haven",2,2,21,27,"44.00",17,15,"53.00"
"Version1 (Inactive)","Haven",2,2,22,21,"51.00",23,22,"51.00"
"BLUE BEES.ESP","Split",2,2,22,26,"46.00",16,9,"64.00"
"Alter Ego","Split",1,1,8,8,"50.00",16,8,"67.00"
"9z Team","Icebox",1,1,15,7,"68.00",8,15,"35.00"
"Griffin E-Sports","Split",1,1,9,14,"39.00",7,9,"44.00"
"Luminosity Gaming","Bind",3,3,32,41,"44.00",32,23,"58.00"
"SunXet Club","Bind",1,1,9,18,"33.00",7,9,"44.00"
"Movistar Optix","Icebox",1,1,15,8,"65.00",5,15,"25.00"
"XERXIA Esports","Split",2,2,15,21,"42.00",26,22,"54.00"
"Tartarus","Split",1,1,10,11,"48.00",12,10,"55.00"
"Persija Esports","Fracture",1,1,17,9,"65.00",8,17,"32.00"
"Desperado","Ascent",3,3,21,33,"39.00",31,31,"50.00"
"Made in Thailand","Bind",3,3,37,31,"54.00",28,30,"48.00"
"Los Grandes","Split",1,2,14,22,"39.00",17,14,"55.00"
"FURIA","Icebox",4,5,56,49,"53.00",46,61,"43.00"
"FunPlus Phoenix","Breeze",5,6,59,60,"50.00",42,56,"43.00"
"FULL SENSE","Ascent",1,2,9,18,"33.00",19,17,"53.00"
"ややーず","Breeze",0,1,3,9,"25.00",6,4,"60.00"
"Spear Gaming","Ascent",2,3,31,29,"52.00",14,20,"41.00"
"Stars Horizon","Bind",0,1,6,4,"60.00",3,9,"25.00"
"REJECT","Split",0,1,0,7,"0.00",6,6,"50.00"
"NAOS Esports","Split",0,1,4,8,"33.00",7,5,"58.00"
"looking for a name","Split",0,1,1,3,"25.00",2,10,"17.00"
"Knights","Ascent",2,3,25,38,"40.00",25,24,"51.00"
"Knights","Split",0,1,3,6,"33.00",5,7,"42.00"
"NAOS Esports","Ascent",0,1,4,8,"33.00",0,5,"0.00"
"NAOS Esports","Icebox",0,1,0,6,"0.00",5,7,"42.00"
"EBRO Gaming","Fracture",0,1,6,6,"50.00",2,7,"22.00"
"The Guard","Fracture",3,4,29,40,"42.00",42,37,"53.00"
"Veronica7","Split",0,1,5,7,"42.00",3,6,"33.00"
"SchwarzerLand","Icebox",0,1,3,9,"25.00",4,4,"50.00"
"Movistar Optix","Bind",3,4,42,39,"52.00",27,43,"39.00"
"Team Secret","Fracture",0,1,4,8,"33.00",7,5,"58.00"
"Shopify Rebellion","Ascent",0,1,6,6,"50.00",4,7,"36.00"
"Persija Esports","Haven",2,3,24,32,"43.00",26,33,"44.00"
"TSM","Split",1,2,17,18,"49.00",18,20,"47.00"
"Team Secret","Bind",1,2,8,13,"38.00",12,22,"35.00"
"Sharks Esports","Icebox",1,2,16,14,"53.00",12,21,"36.00"
"Sengoku Gaming","Haven",1,2,11,17,"39.00",15,12,"56.00"
"Oasis Gaming","Breeze",0,1,3,5,"38.00",4,8,"33.00"
"Team GP","Breeze",0,1,0,4,"0.00",3,9,"25.00"
"DetonatioN Gaming White","Fracture",0,1,2,7,"22.00",6,6,"50.00"
"FUSION","Haven",0,1,3,9,"25.00",1,4,"20.00"
"INGAMING Esports","Breeze",1,2,18,16,"53.00",13,19,"41.00"
"BLUE BEES.ESP","Breeze",0,1,5,7,"42.00",6,6,"50.00"
"DRX","Icebox",3,4,40,32,"56.00",31,37,"46.00"
"FW Esports","Breeze",0,1,6,5,"55.00",4,8,"33.00"
"Sengoku Gaming","Bind",0,1,4,7,"36.00",6,6,"50.00"
"Focus e-Sports","Bind",0,1,0,4,"0.00",3,9,"25.00"
"GoNGo Prince","Bind",0,1,6,7,"46.00",6,7,"46.00"
"100 Thieves","Ascent",3,4,23,51,"31.00",36,22,"62.00"
"Onic Esports","Icebox",4,5,50,47,"52.00",48,51,"48.00"
"IGZIST","Icebox",0,1,3,9,"25.00",1,4,"20.00"
