"Ign","Team","Assists"
"SUTHER","9z Team (ex)","182"
"AloNeFillz","Made in Thailand","181"
"k1Ng","On Sla2ers (ex)","181"
"HANLING","9z Team (ex)","181"
"Starxo","Acend","180"
"Moose","Luminosity Gaming (ex)","180"
"Will","100 Thieves (ex)","179"
"Surf","XERXIA Esports (ex)","177"
"Tio","Movistar Optix","177"
"GwangUh","Maru Gaming (ex)","177"
"dinkzj","Natus Vincere (ex)","176"
"JessieVash","Team Secret","176"
"BABYBAY","FaZe Clan","176"
"dimasick","Team Liquid","175"
"BORKUM","Team Secret","174"
"SungJin","Spear Gaming (ex)","172"
"Zander","Version1 (Inactive) (ex)","172"
"Kongared","Made in Thailand","171"
"BerserX","BOOM Esports","171"
"v1xen","Ninjas in Pyjamas (ex)","170"
"asteriskk","Persija Esports","169"
"Hate","DAMWON Gaming (ex)","169"
"Lmemore","Onic Esports (ex)","169"
"Meiy","Crazy Raccoon","168"
"chase","Gamelanders Blue (ex)","166"
"Quick","FURIA","166"
"Sayaplayer","The Guard (ex)","166"
"aimDLL","BBL Esports","166"
"zeddy","Natus Vincere (ex)","166"
"Monyet","Onic Esports (ex)","164"
"heat","Keyd Stars (ex)","163"
"bazz","FAV gaming","162"
"Destrian","OG LDN UTD (ex)","162"
"T3xture","DAMWON Gaming (ex)","162"
"Benecia","CNJ Esports","162"
"vickt0r","Movistar Optix","162"
"adrnking","Alter Ego","161"
"d3ffo","M3 Champions (ex)","161"
"curry","Cloud9 (ex)","160"
"gustt1nha","Los Grandes (ex)","160"
"xeta","Cloud9 (ex)","159"
"Cryocells","XSET (ex)","158"
"JhoW","Keyd Stars (ex)","154"
"Nyang","Gamelanders Blue","153"
"tex","NRG Esports (ex)","152"
"SicK","Sentinels (ex)","151"
"mNdS","MIBR (ex)","151"
"Boo","OG LDN UTD (ex)","150"
"Medusa","REJECT (ex)","150"
"ExiA","Spear Gaming","148"
"zombs","Sentinels (ex)","146"
"Turko","BBL Esports","146"
"pleets","Los Grandes","144"
"jfoen","E-Xolos LAZER","143"
"TenZ","Sentinels","142"
"Bangnan","DAMWON Gaming (ex)","140"
"gtnziN","MIBR (ex)","138"
"Boostio","Evil Geniuses","138"
"effys","Version1 (Inactive) (ex)","137"
"MOLSI","OG LDN UTD (ex)","137"
"Delta","Maru Gaming (ex)","137"
"tuyz","TBK Esports (ex)","137"
"Deryeon","Bleed Esports (ex)","136"
"braveaf","FNATIC (ex)","134"
"Secret","Desperado (ex)","134"
"Meteor","NORTHEPTION (ex)","133"
"Delend","Made in Thailand (ex)","133"
"wannafly","Made in Thailand","132"
"Kush","Alter Ego","132"
"Mizu","9z Team","131"
"DeNaro","MIBR (ex)","131"
"JinboongE","HolyMolly (ex)","131"
"BandiCoot","E-Xolos LAZER","129"
"Tuli","Movistar Optix (ex)","129"
"b3ta","Made in Thailand","128"
"AslaN","BIG (ex)","128"
"RIPablo","IGZIST","128"
"Genghsta","Knights (ex)","127"
"hype","OG LDN UTD (ex)","127"
"MAGNUM","FNATIC (ex)","127"
"vakk","Acend","126"
"shion","Liberty (ex)","124"
"Hermes","HolyMolly (ex)","124"
"AsLanM4shadoW","BBL Esports","123"
"Rainy","Griffin E-Sports","122"
"bdog","Luminosity Gaming (ex)","119"
"Famouz","BOOM Esports (ex)","118"
"zepher","REJECT (ex)","118"
"XXiF","Knights (ex)","118"
"brawk","Ghost Gaming (ex)","116"
"Hyzee","Fancy United Esports (ex)","116"
"Obnoks","BIG (ex)","115"
"Has1ra14","CNJ Esports","114"
"Derialy","NORTHEPTION","114"
"LOB","FAV gaming","113"
"7ssk7","Natus Vincere (ex)","112"
"krain","Liberty","112"
"10X","HolyMolly (ex)","112"
"cNed","Acend (ex)","112"
"Witz","Team Secret (ex)","112"
"NiSMO","Ghost Gaming (ex)","112"
"Moves","Team T5 (ex)","111"
"wippie","Version1 (Inactive) (ex)","111"
"Rain","CNJ Esports","110"
"Maple","ORDER (ex)","110"
"Phantom","FAV gaming","110"
"Twisten","BIG (ex)","109"
"MONSTEERR","Acend (ex)","109"
"Kadoom","Made in Thailand","108"
"Minty","FAV gaming","107"
"Jady","Natus Vincere (ex)","107"
"RyZzi","Desperado (ex)","107"
"Ssun","Spear Gaming (ex)","107"
"baddyG","FunPlus Phoenix (ex)","106"
"Texta","ORDER (ex)","105"
"YESicaN","Fancy United Esports","105"
"DubsteP","Team Secret","105"
"Xdll","BLUE BEES.ESP (ex)","104"
"redwater877","Team T5","104"
"Lakia","IGZIST (ex)","103"
"NoriseN","REJECT (ex)","103"
"poem","IGZIST","103"
"myssen","Liberty","103"
"Fuzari","Gamelanders Blue (ex)","102"
"godko","Desperado (ex)","102"
"iNTRO","DAMWON Gaming (si)","102"
"frostmind","BOOM Esports (ex)","102"
"dicey","FaZe Clan","101"
"v1nNy","Gamelanders Blue (ex)","101"
"aproto","Ghost Gaming (ex)","101"
"prince","Los Grandes (ex)","101"
"zennakukinn","BLUE BEES.ESP (ex)","100"
"rDeeW","ORDER (ex)","100"
"Munchkin","Crazy Raccoon (ex)","99"
"pAura","BBL Esports (ex)","99"
"akashi","CERBERUS Esports (ex)","98"
"deLb","Alter Ego","98"
"Harry","HolyMolly","97"
"skuba","Knights (ex)","97"
"rubkkoide","PAMPAS (ex)","94"
"PTC","FULL SENSE (ex)","94"
"pr0xy","Spear Gaming (ex)","94"
"SoGaTe","Tartarus (ex)","94"
"SylFy","Jadeite (ex)","93"
"Hiko","100 Thieves (ex)","93"
"Mited","FUSION","92"
"Johnqt","Ghost Gaming (ex)","92"
"GOLD","Desperado (ex)","92"
"QutionerX","BBL Esports","92"
"liazzi","Liberty","91"
"W1nner","Griffin E-Sports","91"
"roseaufy","Persija Esports","90"
"Dispenser","Team Secret","88"
"Fantasy","Team T5","88"
"supamen","Rise (ex)","87"
"YRSelect","Griffin E-Sports (si)","86"
"CTC","Los Grandes (ex)","86"
"tixx","Bonkers(OCE) (ex)","85"
"Unnsto","EBRO Gaming (ex)","85"
"Lok1","CERBERUS Esports (ex)","84"
"Zellsis","Sentinels (ex)","84"
"noxxy","Alter Ego (si)","83"
"Fisker","FAV gaming (ex)","82"
"Jady","M3 Champions","82"
"GwangUh","Tartarus (ex)","81"
"Feniz","E-Xolos LAZER","81"
"disk0","ORDER (ex)","81"
"ChAlalala","FULL SENSE (ex)","81"
"Famouz","Persija Esports (ex)","81"
"shroud","Sentinels","80"
"olzerr","PAMPAS (ex)","80"
"Kaspe","BIG (ex)","79"
"penny","Version1 (Inactive) (ex)","79"
"gob b","BIG (ex)","79"
"neptune","Rise (ex)","78"
"Xandrite","NORTHEPTION (ex)","78"
"Kanpeki","Sentinels (ex)","78"
"Dcop","FUSION","78"
"oitaN","IGZIST","77"
"ParkJJong","Tartarus (ex)","77"
"luckeRRR","BIG (ex)","76"
"luckeRRR","BIG (ex)","76"
"feqew","OG LDN UTD (ex)","75"
"LEXY","Bleed Esports (ex)","75"
"vong","FOKUS (ex)","75"
"rion","Crazy Raccoon","74"
"Kr1stal","BLUE BEES.ESP (ex)","74"
"Bangnan","Team T5 (ex)","74"
"RoaN","SunXet Club (ex)","74"
"Boo","LDN UTD (ex)","73"
"wyz","FUSION","73"
"ANDROID","NRG Esports (ex)","73"
"iluri","FOKUS (ex)","73"
"Sơn KeKe","Fancy United Esports (ex)","72"
"eKo","Reignite (ex)","72"
"frz","MIBR","72"
"WKN","Meta Gaming (ex)","71"
"prozin","Sharks Esports","70"
"bmVz","Fancy United Esports (ex)","70"
"MOLSI","LDN UTD (ex)","70"
"dgzin","Gamelanders Blue (ex)","70"
"vow","Team T5 (ex)","69"
"kiles","Acend (ex)","69"
"LAMMYSNAX","FULL SENSE (ex)","69"
"LEXY","Bleed Esports (ex)","68"
"Derrek","Rise (ex)","68"
"Destrian","LDN UTD (ex)","68"
"Anker","Jadeite (ex)","67"
"2GE","Rex Regum Qeon","67"
"Subroza","TSM (ex)","66"
"Holbreak","EBRO Gaming (ex)","66"
"KILLDREAMST","Sharks Esports (ex)","65"
"CyderX","SuperMassive (ex)","65"
"gMd","TSM (ex)","65"
"D1E","Movistar Optix","64"
"Art","Sengoku Gaming (ex)","64"
"v1xen","Ninjas in Pyjamas (si)","64"
"SamuraiDeeper","Crest Gaming ZST (ex)","64"
"YaBoiLewis","FOKUS","64"
"SyouTa","Crest Gaming ZST (ex)","64"
"shelbyN","EBRO Gaming (ex)","64"
"NAOS JA","South Built Esports (ex)","64"
"Pepper","IGZIST (ex)","63"
"poised","Rise (ex)","63"
"Ethan","100 Thieves (ex)","62"
"Eeyore","Persija Esports","62"
"Bonecold","Acend (ex)","62"
"Brinks","Gamelanders Blue (si)","62"
"NicoMachine","Meta Gaming (ex)","62"
"Rossy","TSM (ex)","62"
"glym","Liberty (ex)","61"
"Akame","Jadeite","61"
"Felix","Brimstone (si)","61"
"HaReeee","REJECT (ex)","61"
"Addicted","Sharks Esports (ex)","61"
"skrawl","Bonkers(OCE) (ex)","60"
"Dhimorutoo","Reignite (ex)","60"
"Glovee","SuperMassive (ex)","58"
"leonzhett","PAMPAS (ex)","58"
"TORANECO","BLUE BEES.ESP (ex)","58"
"Chronicle","Gambit Esports (ex)","57"
"Dreamas","Team Liquid (ex)","57"
"Frosty","Knights (ex)","57"
"NANZIN","INGAMING Esports (ex)","57"
"Daveeys","E-Xolos LAZER (ex)","57"
"dgzin","FURIA","57"
"RND","Los Grandes (ex)","57"
"jzz","MIBR","56"
"flippy","South Built Esports (ex)","56"
"pho","Evil Geniuses (ex)","56"
"badsitoww","Meta Gaming (ex)","56"
"Nozz","Bonkers(OCE) (ex)","56"
"Kishi","CERBERUS Esports (ex)","55"
"Amaterasu","Velocity Gaming","55"
"CLZ","FENNEL","55"
"JUGi","FOKUS","55"
"Fross","SunXet Club","54"
"YaBoiDre","Evil Geniuses (ex)","54"
"ban","Knights (ex)","54"
"Misaya","Sengoku Gaming","53"
"Flynch","Persija Esports (ex)","53"
"pdr","INGAMING Esports (ex)","53"
"DOGAO","Movistar Optix","52"
"Draxii","Rex Regum Qeon (ex)","52"
"GOLD","Desperado (si)","52"
"hyouka","Reignite","51"
"SiuFatBB","Griffin E-Sports","50"
"Maverick","Stars Horizon (ex)","50"
"jotinha","SunXet Club (ex)","50"
"bucher","FOKUS (ex)","50"
"Jremy","Team Secret","50"
"rochet","SunXet Club (ex)","50"
"XiSTOU","SuperMassive (ex)","50"
"Pro","South Built Esports (ex)","49"
"Moothie","CNJ Esports (ex)","49"
"Minimise","Bonkers(OCE) (ex)","49"
"jcStani","100 Thieves (ex)","49"
"L1NK","Acend (ex)","48"
"raafa","Liberty (ex)","48"
"Suka","Fancy United Esports (ex)","48"
"artn","Gaimin Gladiators (ex)","48"
"NANZIN","Stars Horizon","48"
"Peloncito","E-Xolos LAZER","48"
"LucasVade","Meta Gaming (ex)","48"
"kurozooted","Reignite","47"
"marin","SCARZ (ex)","47"
"Retla","Bleed Esports (ex)","46"
"seven","TSM (ex)","46"
"rite2ace","Velocity Gaming (ex)","46"
"SEIDER","FunPlus Phoenix (si)","46"
"KimGyuTae","Desperado","45"
"GodDead","On Sla2ers (si)","45"
"kvzx","NAOS Esports","45"
"RgLMeister","INGAMING Esports (ex)","45"
"Dszera","Team Vikings (ex)","44"
"Eliza","GoNGo Prince (ex)","44"
"Shanks","Rise (ex)","44"
"flainzz","Stars Horizon","44"
"kellyS","Rex Regum Qeon (ex)","44"
"david","PAMPAS (ex)","44"
"TENSAI","FENNEL (ex)","44"
"Rawkus","Sentinels (ex)","44"
"JinboongE","Brimstone (ex)","44"
"PEPA","Team Vikings (ex)","43"
"Xander","FUSION","43"
"TiGG","Shopify Rebellion (ex)","43"
"Rabbet","Rex Regum Qeon","43"
"D1E","Meta Gaming (ex)","42"
"diewijAs","PAMPAS (ex)","42"
"NeruFi","Crest Gaming ZST","42"
"musashi","BIG (ex)","42"
"KappA","Global Esports","41"
"koalanoob","Ghost Gaming (ex)","41"
"Yacine","Guild Esports","41"
"Vibhor","Velocity Gaming (ex)","41"
"Brave","SuperMassive (ex)","41"
"DaeGi","Tartarus (ex)","41"
"Lawrence","GoNGo Prince","41"
"Knight","Pentagon","41"
"Dreamas","LDN UTD (ex)","40"
"WRONSKI","ORDER (ex)","40"
"bnj","9z Team (si)","40"
"Fung3","Griffin E-Sports","40"
"RgLMeister","Keyd Stars (si)","40"
"SoGaTe","Team GP (ex)","39"
"Kakarot","NAOS Esports","39"
"allow","Jadeite (ex)","39"
"Brofeld","Jadeite","39"
"ryota-","SCARZ (ex)","39"
"Izzy","SuperMassive","38"
"frz","Sharks Esports (ex)","38"
"feqew","LDN UTD (ex)","38"
"Sushi","EBRO Gaming (ex)","38"
"Den2","Spear Gaming (ex)","37"
"MatiS","EBRO Gaming (ex)","37"
"flainzz","INGAMING Esports (ex)","37"
"Has1ra14","Maru Gaming (ex)","37"
"THEE","FULL SENSE","37"
"CHICHOO","EDward Gaming","37"
"STYRON","Gaimin Gladiators (ex)","37"
"Nizzy","Fancy United Esports","37"
"swag","Team Vikings (ex)","37"
"Hermes","Brimstone (ex)","36"
"PapiChulo","South Built Esports (ex)","36"
"azys","South Built Esports (ex)","36"
"nephh","Gaimin Gladiators (ex)","36"
"rez1v","Storks Phalanx","35"
"f1cio","Fancy United Esports","35"
"KuuKai","Crest Gaming ZST (ex)","35"
"skyeSG","No Namers (ex)","35"
"이토히로부비부빗","Team T5 (ex)","35"
"alyaL","CERBERUS Esports (ex)","35"
"SeolHo","Spear Gaming (ex)","35"
"ec1s","100 Thieves (ex)","35"
"FuriousMeow","Oblivion Force","34"
"zunba","On Sla2ers (si)","34"
"Shuzz","SCARZ (ex)","34"
