"Ign","Team","Assists"
"Maru","Mariner","8"
"Sacchi","SchwarzerLand","8"
"oikou","GyoGun (ex)","7"
"大西大和","SETOUCHI ENLIFE (ex)","7"
"SkRossi","Global Esports","7"
"Lore","Focus e-Sports (ex)","7"
"Ludens","K2 eSports (ex)","7"
"Flash","Rex Regum Qeon","7"
"Gabriel","AWS","7"
"silver","K2 eSports (ex)","7"
"something","Sengoku Gaming","7"
"Ran","SETOUCHI ENLIFE (ex)","7"
"kurtesy","Oasis Gaming","7"
"Wenty","Tartarus (si)","6"
"Citrus7","SchwarzerLand","6"
"sickLy","FUSION","6"
"kobra","Crest Gaming ZST","6"
"reooooo","Rebellion Arts","6"
"ZONBee","GyoGun","6"
"KadosuK","GyoGun (ex)","6"
"H1K","SchwarzerLand","6"
"DaeGi","Tartarus (si)","6"
"Life","EDward Gaming (ex)","6"
"Defectio","ややーず (ex)","5"
"cuda","GyoGun (ex)","5"
"KAMEReon","AWS (ex)","5"
"Suda","SETOUCHI ENLIFE (ex)","5"
"sakurai","Crest Gaming ZST (ex)","5"
"takej","Crest Gaming ZST (si)","5"
"HellFull","FUSION (ex)","5"
"RIA","ややーず (ex)","5"
"NeruFi","REJECT (si)","5"
"sakurai","REJECT (si)","5"
"SyouTa","REJECT (si)","4"
"Myself","AWS","4"
"Nikumanyaro","SYSTEM e-Sports (ex)","4"
"GLAB zey","NAOS Esports (ex)","4"
"NoriseN","Crest Gaming ZST (si)","4"
"SamuraiDeeper","REJECT (si)","4"
"Num","AWS (ex)","4"
"sachi","Rebellion Arts (ex)","4"
"Anna","Next eSports (ex)","4"
"Learica","TRIDENT (ex)","4"
"Puupop","Mariner","3"
"zepher","Crest Gaming ZST (si)","3"
"Zan","Focus e-Sports","3"
"Pa1n","Focus e-Sports","3"
"hiyokomaru","SYSTEM e-Sports","3"
"Yso","TRIDENT (ex)","3"
"KimGyuTae","Desperado (si)","3"
"Akame","K2 eSports (ex)","3"
"Purp0","M3 Champions (ex)","3"
"Kei","looking for a name","3"
"Leo","SYSTEM e-Sports","2"
"Valll","Focus e-Sports (ex)","2"
"2KY","SchwarzerLand","2"
"MqsaaV","Mariner","2"
"TAMAGO","AWS (ex)","2"
"Medusa","Crest Gaming ZST (si)","2"
"fiN","SYSTEM e-Sports","1"
"wait","KRÜ Esports (si)","1"
